nodes	percent_of_prediction	percent_of_DWPC	metapath
Creatine—CKMT2—prostate cancer	0.739	1	CbGaD
Creatine—CKMT1B—prostate gland—prostate cancer	0.00588	0.0705	CbGeAlD
Creatine—CKM—prostate gland—prostate cancer	0.00578	0.0693	CbGeAlD
Creatine—CKMT2—prostate gland—prostate cancer	0.00491	0.0589	CbGeAlD
Creatine—SLC6A8—prostate gland—prostate cancer	0.00421	0.0505	CbGeAlD
Creatine—CKMT2—seminal vesicle—prostate cancer	0.00416	0.0498	CbGeAlD
Creatine—CKB—prostate gland—prostate cancer	0.00383	0.046	CbGeAlD
Creatine—SLC6A8—seminal vesicle—prostate cancer	0.00356	0.0427	CbGeAlD
Creatine—GAMT—prostate gland—prostate cancer	0.00341	0.0408	CbGeAlD
Creatine—CKMT2—urethra—prostate cancer	0.00329	0.0395	CbGeAlD
Creatine—CKB—seminal vesicle—prostate cancer	0.00324	0.0389	CbGeAlD
Creatine—GAMT—Podofilox—Etoposide—prostate cancer	0.00291	1	CbGdCrCtD
Creatine—GAMT—seminal vesicle—prostate cancer	0.00288	0.0345	CbGeAlD
Creatine—SLC6A8—renal system—prostate cancer	0.00287	0.0344	CbGeAlD
Creatine—SLC6A8—urethra—prostate cancer	0.00282	0.0338	CbGeAlD
Creatine—CKB—renal system—prostate cancer	0.00261	0.0313	CbGeAlD
Creatine—CKB—urethra—prostate cancer	0.00257	0.0308	CbGeAlD
Creatine—CKM—testis—prostate cancer	0.00255	0.0305	CbGeAlD
Creatine—GAMT—renal system—prostate cancer	0.00232	0.0278	CbGeAlD
Creatine—GAMT—urethra—prostate cancer	0.00228	0.0273	CbGeAlD
Creatine—SLC6A8—bone marrow—prostate cancer	0.00217	0.026	CbGeAlD
Creatine—CKMT2—testis—prostate cancer	0.00216	0.026	CbGeAlD
Creatine—SLC6A8—testis—prostate cancer	0.00185	0.0222	CbGeAlD
Creatine—CKM—lymph node—prostate cancer	0.00185	0.0221	CbGeAlD
Creatine—CKB—testis—prostate cancer	0.00169	0.0202	CbGeAlD
Creatine—CKMT2—lymph node—prostate cancer	0.00157	0.0188	CbGeAlD
Creatine—GAMT—testis—prostate cancer	0.0015	0.018	CbGeAlD
Creatine—SLC6A8—lymph node—prostate cancer	0.00134	0.0161	CbGeAlD
Creatine—CKB—lymph node—prostate cancer	0.00122	0.0147	CbGeAlD
Creatine—GAMT—lymph node—prostate cancer	0.00109	0.013	CbGeAlD
Creatine—SLC22A5—prostate gland—prostate cancer	0.000956	0.0115	CbGeAlD
Creatine—SLC22A5—seminal vesicle—prostate cancer	0.000809	0.0097	CbGeAlD
Creatine—SLC22A5—renal system—prostate cancer	0.000652	0.00781	CbGeAlD
Creatine—SLC22A5—urethra—prostate cancer	0.00064	0.00768	CbGeAlD
Creatine—SLC22A5—testis—prostate cancer	0.000421	0.00505	CbGeAlD
Creatine—SLC22A5—lymph node—prostate cancer	0.000305	0.00366	CbGeAlD
Creatine—CKB—Metabolism—NCOA2—prostate cancer	4.58e-05	0.000263	CbGpPWpGaD
Creatine—GAMT—Metabolism—HSD3B2—prostate cancer	4.54e-05	0.00026	CbGpPWpGaD
Creatine—GAMT—Metabolism—GSTO1—prostate cancer	4.54e-05	0.00026	CbGpPWpGaD
