nodes	percent_of_prediction	percent_of_DWPC	metapath
Creatine—CKMT1B—Metabolism—CYP1B1—prostate cancer	4.54e-05	0.00026	CbGpPWpGaD
Creatine—CKMT2—Metabolism—CYP1B1—prostate cancer	4.54e-05	0.00026	CbGpPWpGaD
Creatine—CKMT1A—Metabolism—CYP1B1—prostate cancer	4.54e-05	0.00026	CbGpPWpGaD
Creatine—GAMT—Metabolism—NAT2—prostate cancer	4.54e-05	0.00026	CbGpPWpGaD
Creatine—CKM—Metabolism—AKR1C3—prostate cancer	4.47e-05	0.000256	CbGpPWpGaD
Creatine—CKM—Metabolism—PRKACB—prostate cancer	4.45e-05	0.000255	CbGpPWpGaD
Creatine—CKMT2—Metabolism—GGT1—prostate cancer	4.4e-05	0.000252	CbGpPWpGaD
Creatine—CKMT1A—Metabolism—GGT1—prostate cancer	4.4e-05	0.000252	CbGpPWpGaD
Creatine—CKMT1B—Metabolism—GGT1—prostate cancer	4.4e-05	0.000252	CbGpPWpGaD
Creatine—CKM—Metabolism—CYP17A1—prostate cancer	4.4e-05	0.000252	CbGpPWpGaD
Creatine—CKB—Metabolism—SLC5A5—prostate cancer	4.37e-05	0.000251	CbGpPWpGaD
Creatine—SLC6A8—Metabolism—SLC5A5—prostate cancer	4.37e-05	0.000251	CbGpPWpGaD
Creatine—GAMT—Metabolism—PLCB2—prostate cancer	4.36e-05	0.00025	CbGpPWpGaD
Creatine—GAMT—Metabolism—CYP2C18—prostate cancer	4.36e-05	0.00025	CbGpPWpGaD
Creatine—GAMT—Metabolism—LRP2—prostate cancer	4.36e-05	0.00025	CbGpPWpGaD
Creatine—CKMT2—Metabolism—NCOA1—prostate cancer	4.33e-05	0.000248	CbGpPWpGaD
Creatine—CKMT1B—Metabolism—NCOA1—prostate cancer	4.33e-05	0.000248	CbGpPWpGaD
Creatine—CKMT1A—Metabolism—NCOA1—prostate cancer	4.33e-05	0.000248	CbGpPWpGaD
Creatine—SLC6A8—Metabolism—CYP2E1—prostate cancer	4.27e-05	0.000245	CbGpPWpGaD
Creatine—CKMT1A—Metabolism—CYP19A1—prostate cancer	4.27e-05	0.000245	CbGpPWpGaD
Creatine—CKMT2—Metabolism—CYP19A1—prostate cancer	4.27e-05	0.000245	CbGpPWpGaD
Creatine—CKMT1B—Metabolism—CYP19A1—prostate cancer	4.27e-05	0.000245	CbGpPWpGaD
Creatine—CKB—Metabolism—CYP2E1—prostate cancer	4.27e-05	0.000245	CbGpPWpGaD
Creatine—GAMT—Metabolism—P4HB—prostate cancer	4.27e-05	0.000245	CbGpPWpGaD
Creatine—CKB—Metabolism—NQO1—prostate cancer	4.22e-05	0.000242	CbGpPWpGaD
Creatine—SLC6A8—Metabolism—NQO1—prostate cancer	4.22e-05	0.000242	CbGpPWpGaD
Creatine—CKM—Metabolism—NCOA2—prostate cancer	4.19e-05	0.00024	CbGpPWpGaD
Creatine—SLC6A8—Metabolism—TH—prostate cancer	4.16e-05	0.000239	CbGpPWpGaD
Creatine—CKB—Metabolism—TH—prostate cancer	4.16e-05	0.000239	CbGpPWpGaD
Creatine—GAMT—Metabolism—SLC22A1—prostate cancer	4.15e-05	0.000238	CbGpPWpGaD
Creatine—CKMT2—Metabolism—RXRA—prostate cancer	4.12e-05	0.000236	CbGpPWpGaD
Creatine—CKMT1B—Metabolism—RXRA—prostate cancer	4.12e-05	0.000236	CbGpPWpGaD
Creatine—CKMT1A—Metabolism—RXRA—prostate cancer	4.12e-05	0.000236	CbGpPWpGaD
Creatine—SLC6A8—Metabolism—CYP3A4—prostate cancer	4.12e-05	0.000236	CbGpPWpGaD
Creatine—CKB—Metabolism—CYP3A4—prostate cancer	4.12e-05	0.000236	CbGpPWpGaD
Creatine—SLC6A8—Metabolism—CYP1B1—prostate cancer	4.05e-05	0.000232	CbGpPWpGaD
Creatine—CKB—Metabolism—CYP1B1—prostate cancer	4.05e-05	0.000232	CbGpPWpGaD
Creatine—GAMT—Metabolism—SULT2A1—prostate cancer	4.05e-05	0.000232	CbGpPWpGaD
Creatine—CKM—Metabolism—SLC5A5—prostate cancer	4e-05	0.000229	CbGpPWpGaD
Creatine—GAMT—Metabolism—MED12—prostate cancer	3.98e-05	0.000228	CbGpPWpGaD
Creatine—CKMT1B—Metabolism—COMT—prostate cancer	3.97e-05	0.000228	CbGpPWpGaD
Creatine—CKMT1A—Metabolism—COMT—prostate cancer	3.97e-05	0.000228	CbGpPWpGaD
Creatine—CKMT2—Metabolism—COMT—prostate cancer	3.97e-05	0.000228	CbGpPWpGaD
Creatine—GAMT—Metabolism—GNG5—prostate cancer	3.95e-05	0.000226	CbGpPWpGaD
Creatine—CKMT1B—Metabolism—GSTP1—prostate cancer	3.95e-05	0.000226	CbGpPWpGaD
Creatine—CKMT2—Metabolism—GSTP1—prostate cancer	3.95e-05	0.000226	CbGpPWpGaD
Creatine—CKMT1A—Metabolism—GSTP1—prostate cancer	3.95e-05	0.000226	CbGpPWpGaD
Creatine—CKB—Metabolism—GGT1—prostate cancer	3.92e-05	0.000225	CbGpPWpGaD
Creatine—SLC6A8—Metabolism—GGT1—prostate cancer	3.92e-05	0.000225	CbGpPWpGaD
Creatine—CKM—Metabolism—CYP2E1—prostate cancer	3.91e-05	0.000224	CbGpPWpGaD
Creatine—CKMT1A—Metabolism—ITPR1—prostate cancer	3.89e-05	0.000223	CbGpPWpGaD
Creatine—CKMT1B—Metabolism—ITPR1—prostate cancer	3.89e-05	0.000223	CbGpPWpGaD
Creatine—CKMT2—Metabolism—ITPR1—prostate cancer	3.89e-05	0.000223	CbGpPWpGaD
Creatine—CKM—Metabolism—NQO1—prostate cancer	3.86e-05	0.000221	CbGpPWpGaD
Creatine—CKB—Metabolism—NCOA1—prostate cancer	3.86e-05	0.000221	CbGpPWpGaD
Creatine—SLC6A8—Metabolism—NCOA1—prostate cancer	3.86e-05	0.000221	CbGpPWpGaD
Creatine—SLC22A5—Transmembrane transport of small molecules—CYP7B1—prostate cancer	3.83e-05	0.000219	CbGpPWpGaD
Creatine—CKM—Metabolism—TH—prostate cancer	3.81e-05	0.000218	CbGpPWpGaD
Creatine—GAMT—Metabolism—NCOA3—prostate cancer	3.81e-05	0.000218	CbGpPWpGaD
Creatine—SLC6A8—Metabolism—CYP19A1—prostate cancer	3.81e-05	0.000218	CbGpPWpGaD
Creatine—CKB—Metabolism—CYP19A1—prostate cancer	3.81e-05	0.000218	CbGpPWpGaD
Creatine—CKM—Metabolism—CYP3A4—prostate cancer	3.77e-05	0.000216	CbGpPWpGaD
Creatine—SLC22A5—Transmembrane transport of small molecules—SLC26A4—prostate cancer	3.73e-05	0.000214	CbGpPWpGaD
Creatine—SLC22A5—Transmembrane transport of small molecules—SLC12A2—prostate cancer	3.73e-05	0.000214	CbGpPWpGaD
Creatine—CKM—Metabolism—CYP1B1—prostate cancer	3.7e-05	0.000212	CbGpPWpGaD
Creatine—SLC6A8—Metabolism—RXRA—prostate cancer	3.67e-05	0.000211	CbGpPWpGaD
Creatine—CKMT2—Metabolism—TYMS—prostate cancer	3.67e-05	0.000211	CbGpPWpGaD
Creatine—CKMT1A—Metabolism—TYMS—prostate cancer	3.67e-05	0.000211	CbGpPWpGaD
Creatine—CKB—Metabolism—RXRA—prostate cancer	3.67e-05	0.000211	CbGpPWpGaD
Creatine—CKMT1B—Metabolism—TYMS—prostate cancer	3.67e-05	0.000211	CbGpPWpGaD
Creatine—GAMT—Metabolism—HPGDS—prostate cancer	3.63e-05	0.000208	CbGpPWpGaD
Creatine—CKMT2—Metabolism—GSTM1—prostate cancer	3.63e-05	0.000208	CbGpPWpGaD
Creatine—CKMT1A—Metabolism—GSTM1—prostate cancer	3.63e-05	0.000208	CbGpPWpGaD
Creatine—CKMT1B—Metabolism—GSTM1—prostate cancer	3.63e-05	0.000208	CbGpPWpGaD
Creatine—GAMT—Metabolism—CYP2C19—prostate cancer	3.61e-05	0.000207	CbGpPWpGaD
Creatine—CKM—Metabolism—GGT1—prostate cancer	3.59e-05	0.000206	CbGpPWpGaD
Creatine—CKMT1A—Metabolism—LPL—prostate cancer	3.56e-05	0.000204	CbGpPWpGaD
Creatine—CKMT1B—Metabolism—LPL—prostate cancer	3.56e-05	0.000204	CbGpPWpGaD
Creatine—CKMT2—Metabolism—LPL—prostate cancer	3.56e-05	0.000204	CbGpPWpGaD
Creatine—SLC22A5—SLC-mediated transmembrane transport—SLC5A5—prostate cancer	3.54e-05	0.000203	CbGpPWpGaD
Creatine—CKB—Metabolism—COMT—prostate cancer	3.54e-05	0.000203	CbGpPWpGaD
Creatine—SLC6A8—Metabolism—COMT—prostate cancer	3.54e-05	0.000203	CbGpPWpGaD
Creatine—CKM—Metabolism—NCOA1—prostate cancer	3.53e-05	0.000202	CbGpPWpGaD
Creatine—GAMT—Metabolism—ACHE—prostate cancer	3.52e-05	0.000202	CbGpPWpGaD
Creatine—CKB—Metabolism—GSTP1—prostate cancer	3.52e-05	0.000202	CbGpPWpGaD
Creatine—SLC6A8—Metabolism—GSTP1—prostate cancer	3.52e-05	0.000202	CbGpPWpGaD
Creatine—GAMT—Metabolism—GSTT1—prostate cancer	3.52e-05	0.000202	CbGpPWpGaD
Creatine—GAMT—Metabolism—CYP2A6—prostate cancer	3.48e-05	0.0002	CbGpPWpGaD
Creatine—CKM—Metabolism—CYP19A1—prostate cancer	3.48e-05	0.0002	CbGpPWpGaD
Creatine—CKB—Metabolism—ITPR1—prostate cancer	3.47e-05	0.000199	CbGpPWpGaD
Creatine—SLC6A8—Metabolism—ITPR1—prostate cancer	3.47e-05	0.000199	CbGpPWpGaD
Creatine—CKMT1A—Metabolism—CYP1A1—prostate cancer	3.44e-05	0.000197	CbGpPWpGaD
Creatine—CKMT1B—Metabolism—CYP1A1—prostate cancer	3.44e-05	0.000197	CbGpPWpGaD
Creatine—CKMT2—Metabolism—CYP1A1—prostate cancer	3.44e-05	0.000197	CbGpPWpGaD
Creatine—CKMT1B—Metabolism—ERCC2—prostate cancer	3.41e-05	0.000196	CbGpPWpGaD
Creatine—CKMT1A—Metabolism—ERCC2—prostate cancer	3.41e-05	0.000196	CbGpPWpGaD
Creatine—CKMT2—Metabolism—ERCC2—prostate cancer	3.41e-05	0.000196	CbGpPWpGaD
Creatine—GAMT—Metabolism—AKR1C3—prostate cancer	3.39e-05	0.000194	CbGpPWpGaD
Creatine—GAMT—Metabolism—PRKACB—prostate cancer	3.37e-05	0.000193	CbGpPWpGaD
Creatine—CKM—Metabolism—RXRA—prostate cancer	3.36e-05	0.000193	CbGpPWpGaD
Creatine—GAMT—Metabolism—CYP17A1—prostate cancer	3.33e-05	0.000191	CbGpPWpGaD
Creatine—CKB—Metabolism—TYMS—prostate cancer	3.27e-05	0.000188	CbGpPWpGaD
Creatine—SLC6A8—Metabolism—TYMS—prostate cancer	3.27e-05	0.000188	CbGpPWpGaD
Creatine—CKB—Metabolism—GSTM1—prostate cancer	3.24e-05	0.000185	CbGpPWpGaD
Creatine—SLC6A8—Metabolism—GSTM1—prostate cancer	3.24e-05	0.000185	CbGpPWpGaD
Creatine—CKM—Metabolism—COMT—prostate cancer	3.24e-05	0.000185	CbGpPWpGaD
Creatine—CKM—Metabolism—GSTP1—prostate cancer	3.22e-05	0.000185	CbGpPWpGaD
Creatine—CKMT1B—Metabolism—MTHFR—prostate cancer	3.21e-05	0.000184	CbGpPWpGaD
Creatine—CKMT1A—Metabolism—MTHFR—prostate cancer	3.21e-05	0.000184	CbGpPWpGaD
Creatine—CKMT2—Metabolism—MTHFR—prostate cancer	3.21e-05	0.000184	CbGpPWpGaD
Creatine—SLC6A8—Metabolism—LPL—prostate cancer	3.18e-05	0.000182	CbGpPWpGaD
Creatine—CKB—Metabolism—LPL—prostate cancer	3.18e-05	0.000182	CbGpPWpGaD
Creatine—GAMT—Metabolism—NCOA2—prostate cancer	3.18e-05	0.000182	CbGpPWpGaD
Creatine—CKM—Metabolism—ITPR1—prostate cancer	3.17e-05	0.000182	CbGpPWpGaD
Creatine—CKMT1B—Metabolism—PPARA—prostate cancer	3.15e-05	0.00018	CbGpPWpGaD
Creatine—CKMT1A—Metabolism—PPARA—prostate cancer	3.15e-05	0.00018	CbGpPWpGaD
Creatine—CKMT2—Metabolism—PPARA—prostate cancer	3.15e-05	0.00018	CbGpPWpGaD
Creatine—SLC6A8—Metabolism—CYP1A1—prostate cancer	3.07e-05	0.000176	CbGpPWpGaD
Creatine—CKB—Metabolism—CYP1A1—prostate cancer	3.07e-05	0.000176	CbGpPWpGaD
Creatine—CKB—Metabolism—ERCC2—prostate cancer	3.04e-05	0.000174	CbGpPWpGaD
Creatine—SLC6A8—Metabolism—ERCC2—prostate cancer	3.04e-05	0.000174	CbGpPWpGaD
Creatine—GAMT—Metabolism—SLC5A5—prostate cancer	3.03e-05	0.000174	CbGpPWpGaD
Creatine—SLC22A5—Transmembrane transport of small molecules—SLC22A3—prostate cancer	3.03e-05	0.000173	CbGpPWpGaD
Creatine—CKM—Metabolism—TYMS—prostate cancer	2.99e-05	0.000172	CbGpPWpGaD
Creatine—GAMT—Metabolism—CYP2E1—prostate cancer	2.96e-05	0.00017	CbGpPWpGaD
Creatine—CKMT1A—Metabolism—CAV1—prostate cancer	2.96e-05	0.00017	CbGpPWpGaD
Creatine—CKMT2—Metabolism—CAV1—prostate cancer	2.96e-05	0.00017	CbGpPWpGaD
Creatine—CKMT1B—Metabolism—CAV1—prostate cancer	2.96e-05	0.00017	CbGpPWpGaD
Creatine—CKM—Metabolism—GSTM1—prostate cancer	2.96e-05	0.00017	CbGpPWpGaD
Creatine—GAMT—Metabolism—NQO1—prostate cancer	2.93e-05	0.000168	CbGpPWpGaD
Creatine—CKM—Metabolism—LPL—prostate cancer	2.91e-05	0.000167	CbGpPWpGaD
Creatine—GAMT—Metabolism—TH—prostate cancer	2.88e-05	0.000165	CbGpPWpGaD
Creatine—CKB—Metabolism—MTHFR—prostate cancer	2.86e-05	0.000164	CbGpPWpGaD
Creatine—SLC6A8—Metabolism—MTHFR—prostate cancer	2.86e-05	0.000164	CbGpPWpGaD
Creatine—GAMT—Metabolism—CYP3A4—prostate cancer	2.85e-05	0.000164	CbGpPWpGaD
Creatine—GAMT—Metabolism—CYP1B1—prostate cancer	2.81e-05	0.000161	CbGpPWpGaD
Creatine—CKB—Metabolism—PPARA—prostate cancer	2.81e-05	0.000161	CbGpPWpGaD
Creatine—CKM—Metabolism—CYP1A1—prostate cancer	2.81e-05	0.000161	CbGpPWpGaD
Creatine—SLC6A8—Metabolism—PPARA—prostate cancer	2.81e-05	0.000161	CbGpPWpGaD
Creatine—SLC22A5—Transmembrane transport of small molecules—ABCG5—prostate cancer	2.79e-05	0.00016	CbGpPWpGaD
Creatine—CKM—Metabolism—ERCC2—prostate cancer	2.78e-05	0.00016	CbGpPWpGaD
Creatine—GAMT—Metabolism—GGT1—prostate cancer	2.72e-05	0.000156	CbGpPWpGaD
Creatine—CKMT1A—Metabolism—PIK3CG—prostate cancer	2.7e-05	0.000155	CbGpPWpGaD
Creatine—CKMT2—Metabolism—PIK3CG—prostate cancer	2.7e-05	0.000155	CbGpPWpGaD
Creatine—CKMT1B—Metabolism—PIK3CG—prostate cancer	2.7e-05	0.000155	CbGpPWpGaD
Creatine—GAMT—Metabolism—NCOA1—prostate cancer	2.68e-05	0.000153	CbGpPWpGaD
Creatine—SLC6A8—Metabolism—CAV1—prostate cancer	2.64e-05	0.000151	CbGpPWpGaD
Creatine—GAMT—Metabolism—CYP19A1—prostate cancer	2.64e-05	0.000151	CbGpPWpGaD
Creatine—CKB—Metabolism—CAV1—prostate cancer	2.64e-05	0.000151	CbGpPWpGaD
Creatine—CKM—Metabolism—MTHFR—prostate cancer	2.62e-05	0.00015	CbGpPWpGaD
Creatine—CKM—Metabolism—PPARA—prostate cancer	2.57e-05	0.000147	CbGpPWpGaD
Creatine—CKMT2—Metabolism—INS—prostate cancer	2.55e-05	0.000146	CbGpPWpGaD
Creatine—CKMT1A—Metabolism—INS—prostate cancer	2.55e-05	0.000146	CbGpPWpGaD
Creatine—CKMT1B—Metabolism—INS—prostate cancer	2.55e-05	0.000146	CbGpPWpGaD
Creatine—GAMT—Metabolism—RXRA—prostate cancer	2.55e-05	0.000146	CbGpPWpGaD
Creatine—CKMT2—Metabolism—CREBBP—prostate cancer	2.5e-05	0.000143	CbGpPWpGaD
Creatine—CKMT1B—Metabolism—CREBBP—prostate cancer	2.5e-05	0.000143	CbGpPWpGaD
Creatine—CKMT1A—Metabolism—CREBBP—prostate cancer	2.5e-05	0.000143	CbGpPWpGaD
Creatine—SLC22A5—Transmembrane transport of small molecules—SLC22A1—prostate cancer	2.47e-05	0.000141	CbGpPWpGaD
Creatine—GAMT—Metabolism—COMT—prostate cancer	2.45e-05	0.000141	CbGpPWpGaD
Creatine—GAMT—Metabolism—GSTP1—prostate cancer	2.44e-05	0.00014	CbGpPWpGaD
Creatine—CKM—Metabolism—CAV1—prostate cancer	2.41e-05	0.000138	CbGpPWpGaD
Creatine—CKB—Metabolism—PIK3CG—prostate cancer	2.4e-05	0.000138	CbGpPWpGaD
Creatine—SLC6A8—Metabolism—PIK3CG—prostate cancer	2.4e-05	0.000138	CbGpPWpGaD
Creatine—GAMT—Metabolism—ITPR1—prostate cancer	2.4e-05	0.000138	CbGpPWpGaD
Creatine—CKMT2—Metabolism—PIK3CD—prostate cancer	2.37e-05	0.000136	CbGpPWpGaD
Creatine—CKMT1A—Metabolism—PIK3CD—prostate cancer	2.37e-05	0.000136	CbGpPWpGaD
Creatine—CKMT1B—Metabolism—PIK3CD—prostate cancer	2.37e-05	0.000136	CbGpPWpGaD
Creatine—SLC22A5—Transmembrane transport of small molecules—GNG5—prostate cancer	2.35e-05	0.000135	CbGpPWpGaD
Creatine—CKB—Metabolism—INS—prostate cancer	2.28e-05	0.00013	CbGpPWpGaD
Creatine—SLC6A8—Metabolism—INS—prostate cancer	2.28e-05	0.00013	CbGpPWpGaD
Creatine—GAMT—Metabolism—TYMS—prostate cancer	2.27e-05	0.00013	CbGpPWpGaD
Creatine—GAMT—Metabolism—GSTM1—prostate cancer	2.24e-05	0.000129	CbGpPWpGaD
Creatine—CKMT1A—Metabolism—NOS3—prostate cancer	2.24e-05	0.000128	CbGpPWpGaD
Creatine—CKMT1B—Metabolism—NOS3—prostate cancer	2.24e-05	0.000128	CbGpPWpGaD
Creatine—CKMT2—Metabolism—NOS3—prostate cancer	2.24e-05	0.000128	CbGpPWpGaD
Creatine—CKB—Metabolism—CREBBP—prostate cancer	2.23e-05	0.000128	CbGpPWpGaD
Creatine—SLC6A8—Metabolism—CREBBP—prostate cancer	2.23e-05	0.000128	CbGpPWpGaD
Creatine—GAMT—Metabolism—LPL—prostate cancer	2.2e-05	0.000126	CbGpPWpGaD
Creatine—CKM—Metabolism—PIK3CG—prostate cancer	2.2e-05	0.000126	CbGpPWpGaD
Creatine—GAMT—Metabolism—CYP1A1—prostate cancer	2.13e-05	0.000122	CbGpPWpGaD
Creatine—SLC6A8—Metabolism—PIK3CD—prostate cancer	2.11e-05	0.000121	CbGpPWpGaD
Creatine—CKB—Metabolism—PIK3CD—prostate cancer	2.11e-05	0.000121	CbGpPWpGaD
Creatine—GAMT—Metabolism—ERCC2—prostate cancer	2.11e-05	0.000121	CbGpPWpGaD
Creatine—CKM—Metabolism—INS—prostate cancer	2.08e-05	0.000119	CbGpPWpGaD
Creatine—CKMT1A—Metabolism—PIK3CB—prostate cancer	2.07e-05	0.000118	CbGpPWpGaD
Creatine—CKMT2—Metabolism—PIK3CB—prostate cancer	2.07e-05	0.000118	CbGpPWpGaD
Creatine—CKMT1B—Metabolism—PIK3CB—prostate cancer	2.07e-05	0.000118	CbGpPWpGaD
Creatine—CKMT1B—Metabolism—PTGS2—prostate cancer	2.05e-05	0.000117	CbGpPWpGaD
Creatine—CKMT1A—Metabolism—PTGS2—prostate cancer	2.05e-05	0.000117	CbGpPWpGaD
Creatine—CKMT2—Metabolism—PTGS2—prostate cancer	2.05e-05	0.000117	CbGpPWpGaD
Creatine—CKM—Metabolism—CREBBP—prostate cancer	2.04e-05	0.000117	CbGpPWpGaD
Creatine—SLC22A5—Transmembrane transport of small molecules—PRKACB—prostate cancer	2e-05	0.000115	CbGpPWpGaD
Creatine—SLC6A8—Metabolism—NOS3—prostate cancer	2e-05	0.000114	CbGpPWpGaD
Creatine—CKB—Metabolism—NOS3—prostate cancer	2e-05	0.000114	CbGpPWpGaD
Creatine—GAMT—Metabolism—MTHFR—prostate cancer	1.98e-05	0.000114	CbGpPWpGaD
Creatine—GAMT—Metabolism—PPARA—prostate cancer	1.95e-05	0.000111	CbGpPWpGaD
Creatine—CKM—Metabolism—PIK3CD—prostate cancer	1.93e-05	0.000111	CbGpPWpGaD
Creatine—SLC22A5—Transmembrane transport of small molecules—NCOA2—prostate cancer	1.89e-05	0.000108	CbGpPWpGaD
Creatine—CKB—Metabolism—PIK3CB—prostate cancer	1.84e-05	0.000106	CbGpPWpGaD
Creatine—SLC6A8—Metabolism—PIK3CB—prostate cancer	1.84e-05	0.000106	CbGpPWpGaD
Creatine—GAMT—Metabolism—CAV1—prostate cancer	1.83e-05	0.000105	CbGpPWpGaD
Creatine—CKM—Metabolism—NOS3—prostate cancer	1.82e-05	0.000105	CbGpPWpGaD
Creatine—SLC6A8—Metabolism—PTGS2—prostate cancer	1.82e-05	0.000105	CbGpPWpGaD
Creatine—CKB—Metabolism—PTGS2—prostate cancer	1.82e-05	0.000105	CbGpPWpGaD
Creatine—SLC22A5—Transmembrane transport of small molecules—SLC5A5—prostate cancer	1.8e-05	0.000103	CbGpPWpGaD
Creatine—CKMT1A—Metabolism—PTEN—prostate cancer	1.79e-05	0.000102	CbGpPWpGaD
Creatine—CKMT2—Metabolism—PTEN—prostate cancer	1.79e-05	0.000102	CbGpPWpGaD
Creatine—CKMT1B—Metabolism—PTEN—prostate cancer	1.79e-05	0.000102	CbGpPWpGaD
Creatine—CKMT2—Metabolism—EP300—prostate cancer	1.7e-05	9.76e-05	CbGpPWpGaD
Creatine—CKMT1A—Metabolism—EP300—prostate cancer	1.7e-05	9.76e-05	CbGpPWpGaD
Creatine—CKMT1B—Metabolism—EP300—prostate cancer	1.7e-05	9.76e-05	CbGpPWpGaD
Creatine—CKM—Metabolism—PIK3CB—prostate cancer	1.68e-05	9.65e-05	CbGpPWpGaD
Creatine—CKM—Metabolism—PTGS2—prostate cancer	1.67e-05	9.56e-05	CbGpPWpGaD
Creatine—GAMT—Metabolism—PIK3CG—prostate cancer	1.67e-05	9.55e-05	CbGpPWpGaD
Creatine—CKB—Metabolism—PTEN—prostate cancer	1.59e-05	9.12e-05	CbGpPWpGaD
Creatine—SLC6A8—Metabolism—PTEN—prostate cancer	1.59e-05	9.12e-05	CbGpPWpGaD
Creatine—SLC22A5—Transmembrane transport of small molecules—NCOA1—prostate cancer	1.59e-05	9.11e-05	CbGpPWpGaD
Creatine—GAMT—Metabolism—INS—prostate cancer	1.58e-05	9.04e-05	CbGpPWpGaD
Creatine—GAMT—Metabolism—CREBBP—prostate cancer	1.54e-05	8.85e-05	CbGpPWpGaD
Creatine—CKB—Metabolism—EP300—prostate cancer	1.52e-05	8.7e-05	CbGpPWpGaD
Creatine—SLC6A8—Metabolism—EP300—prostate cancer	1.52e-05	8.7e-05	CbGpPWpGaD
Creatine—SLC22A5—Transmembrane transport of small molecules—RXRA—prostate cancer	1.51e-05	8.67e-05	CbGpPWpGaD
Creatine—GAMT—Metabolism—PIK3CD—prostate cancer	1.46e-05	8.39e-05	CbGpPWpGaD
Creatine—CKM—Metabolism—PTEN—prostate cancer	1.46e-05	8.34e-05	CbGpPWpGaD
Creatine—CKM—Metabolism—EP300—prostate cancer	1.39e-05	7.95e-05	CbGpPWpGaD
Creatine—GAMT—Metabolism—NOS3—prostate cancer	1.38e-05	7.93e-05	CbGpPWpGaD
Creatine—GAMT—Metabolism—PIK3CB—prostate cancer	1.28e-05	7.32e-05	CbGpPWpGaD
Creatine—GAMT—Metabolism—PTGS2—prostate cancer	1.26e-05	7.25e-05	CbGpPWpGaD
Creatine—CKMT1B—Metabolism—PIK3CA—prostate cancer	1.26e-05	7.22e-05	CbGpPWpGaD
Creatine—CKMT1A—Metabolism—PIK3CA—prostate cancer	1.26e-05	7.22e-05	CbGpPWpGaD
Creatine—CKMT2—Metabolism—PIK3CA—prostate cancer	1.26e-05	7.22e-05	CbGpPWpGaD
