nodes	percent_of_prediction	percent_of_DWPC	metapath
Triclosan—CBR1—Synthesis of Prostaglandins (PG) and Thromboxanes (TX)—AKR1C3—obesity	0.0479	0.0669	CbGpPWpGaD
Triclosan—CBR1—Arachidonic acid metabolism—ALOX12—obesity	0.036	0.0503	CbGpPWpGaD
Triclosan—CBR1—islet of Langerhans—obesity	0.0342	0.146	CbGeAlD
Triclosan—CBR1—respiratory system—obesity	0.0323	0.138	CbGeAlD
Triclosan—CBR1—adrenal cortex—obesity	0.0271	0.116	CbGeAlD
Triclosan—CBR1—cardiovascular system—obesity	0.0248	0.106	CbGeAlD
Triclosan—Niclosamide—STAT3—obesity	0.0239	0.49	CrCbGaD
Triclosan—CBR1—pituitary gland—obesity	0.0219	0.0934	CbGeAlD
Triclosan—CBR1—adipose tissue—obesity	0.0218	0.0931	CbGeAlD
Triclosan—CBR1—NRF2 pathway—CES1—obesity	0.0217	0.0303	CbGpPWpGaD
Triclosan—CBR1—digestive system—obesity	0.0205	0.0876	CbGeAlD
Triclosan—CBR1—NRF2 pathway—ME1—obesity	0.0202	0.0281	CbGpPWpGaD
Triclosan—CBR1—adrenal gland—obesity	0.0196	0.0835	CbGeAlD
Triclosan—CBR1—Synthesis of Prostaglandins (PG) and Thromboxanes (TX)—PTGS2—obesity	0.0179	0.025	CbGpPWpGaD
Triclosan—CBR1—Arachidonic acid metabolism—AKR1C3—obesity	0.0173	0.0242	CbGpPWpGaD
Triclosan—CBR1—NRF2 pathway—FTL—obesity	0.0172	0.0239	CbGpPWpGaD
Triclosan—CBR1—endocrine gland—obesity	0.017	0.0724	CbGeAlD
Triclosan—CBR1—NRF2 pathway—SLC6A14—obesity	0.0164	0.0229	CbGpPWpGaD
Triclosan—CBR1—liver—obesity	0.0153	0.0653	CbGeAlD
Triclosan—CBR1—Arachidonic acid metabolism—GGT1—obesity	0.0139	0.0194	CbGpPWpGaD
Triclosan—CBR1—NRF2 pathway—PPARD—obesity	0.0127	0.0177	CbGpPWpGaD
Triclosan—CBR1—Arachidonic acid metabolism—GPX1—obesity	0.011	0.0153	CbGpPWpGaD
Triclosan—CBR1—NRF2 pathway—G6PD—obesity	0.0103	0.0144	CbGpPWpGaD
Triclosan—CBR1—NRF2 pathway—GPX3—obesity	0.00838	0.0117	CbGpPWpGaD
Triclosan—CBR1—Metabolism of lipids and lipoproteins—INSIG2—obesity	0.00799	0.0111	CbGpPWpGaD
Triclosan—CBR1—Metabolism of lipids and lipoproteins—PPM1L—obesity	0.00799	0.0111	CbGpPWpGaD
Triclosan—Miconazole—KCNMA1—obesity	0.00732	0.15	CrCbGaD
Triclosan—CBR1—Metabolism of lipids and lipoproteins—INPP5E—obesity	0.00731	0.0102	CbGpPWpGaD
Triclosan—CBR1—NRF2 pathway—SLC6A4—obesity	0.00702	0.00979	CbGpPWpGaD
Triclosan—CBR1—Metabolism of lipids and lipoproteins—ME1—obesity	0.0068	0.00948	CbGpPWpGaD
