nodes	percent_of_prediction	percent_of_DWPC	metapath
Triclosan—CBR1—Arachidonic acid metabolism—PTGS2—obesity	0.00647	0.00902	CbGpPWpGaD
Triclosan—CBR1—Metabolism of lipids and lipoproteins—PNPLA3—obesity	0.00639	0.00891	CbGpPWpGaD
Triclosan—CBR1—NRF2 pathway—NQO1—obesity	0.00635	0.00886	CbGpPWpGaD
Triclosan—CBR1—NRF2 pathway—SLC2A4—obesity	0.00609	0.00849	CbGpPWpGaD
Triclosan—CBR1—Metabolism of lipids and lipoproteins—DGAT2—obesity	0.00606	0.00845	CbGpPWpGaD
Triclosan—CBR1—NRF2 pathway—GGT1—obesity	0.00589	0.00822	CbGpPWpGaD
Triclosan—CBR1—Metabolism of lipids and lipoproteins—MUT—obesity	0.00578	0.00806	CbGpPWpGaD
Triclosan—CBR1—Metabolism of lipids and lipoproteins—LIPE—obesity	0.00578	0.00806	CbGpPWpGaD
Triclosan—CBR1—Metabolism of lipids and lipoproteins—DGAT1—obesity	0.00554	0.00773	CbGpPWpGaD
Triclosan—CBR1—Metabolism of lipids and lipoproteins—ACLY—obesity	0.00533	0.00744	CbGpPWpGaD
Triclosan—CBR1—NRF2 pathway—HMOX1—obesity	0.00522	0.00729	CbGpPWpGaD
Triclosan—CBR1—Metabolism of lipids and lipoproteins—ALOX12—obesity	0.00515	0.00718	CbGpPWpGaD
Triclosan—CBR1—Metabolism of lipids and lipoproteins—HMGCS1—obesity	0.00499	0.00696	CbGpPWpGaD
Triclosan—CBR1—Metabolism of lipids and lipoproteins—ACADM—obesity	0.00484	0.00676	CbGpPWpGaD
Triclosan—CBR1—Metabolism of lipids and lipoproteins—PNPLA2—obesity	0.00484	0.00676	CbGpPWpGaD
Triclosan—CBR1—Metabolism of lipids and lipoproteins—ANGPTL4—obesity	0.00484	0.00676	CbGpPWpGaD
Triclosan—CBR1—Metabolism of lipids and lipoproteins—PLIN1—obesity	0.00484	0.00676	CbGpPWpGaD
Triclosan—Econazole—CYP19A1—obesity	0.00478	0.0981	CrCbGaD
Triclosan—CBR1—Metabolism of lipids and lipoproteins—OXCT1—obesity	0.00471	0.00657	CbGpPWpGaD
Triclosan—CBR1—Metabolism of lipids and lipoproteins—ACACB—obesity	0.00471	0.00657	CbGpPWpGaD
Triclosan—CBR1—Metabolism—CA3—obesity	0.0047	0.00655	CbGpPWpGaD
Triclosan—CBR1—Metabolism of lipids and lipoproteins—PNLIP—obesity	0.00459	0.0064	CbGpPWpGaD
Triclosan—CBR1—Metabolism of lipids and lipoproteins—SRD5A1—obesity	0.00459	0.0064	CbGpPWpGaD
Triclosan—Miconazole—NOS3—obesity	0.00447	0.0917	CrCbGaD
Triclosan—CBR1—Metabolism of lipids and lipoproteins—STS—obesity	0.00438	0.00611	CbGpPWpGaD
Triclosan—CBR1—Metabolism of lipids and lipoproteins—PPARD—obesity	0.00429	0.00598	CbGpPWpGaD
Triclosan—CBR1—Metabolism of lipids and lipoproteins—SLC27A1—obesity	0.0042	0.00586	CbGpPWpGaD
Triclosan—CBR1—Metabolism of lipids and lipoproteins—FABP4—obesity	0.00412	0.00574	CbGpPWpGaD
Triclosan—CBR1—Metabolism—GLRX—obesity	0.00399	0.00557	CbGpPWpGaD
Triclosan—CBR1—Metabolism of lipids and lipoproteins—HSD11B1—obesity	0.0039	0.00545	CbGpPWpGaD
Triclosan—CBR1—Metabolism of lipids and lipoproteins—ECHS1—obesity	0.0039	0.00545	CbGpPWpGaD
Triclosan—CBR1—Metabolism of lipids and lipoproteins—PPARGC1B—obesity	0.00378	0.00527	CbGpPWpGaD
Triclosan—CBR1—Metabolism of lipids and lipoproteins—ACSL1—obesity	0.00378	0.00527	CbGpPWpGaD
Triclosan—CBR1—Metabolism of lipids and lipoproteins—GPAM—obesity	0.00378	0.00527	CbGpPWpGaD
Triclosan—CBR1—Metabolism of lipids and lipoproteins—HADH—obesity	0.00367	0.00512	CbGpPWpGaD
Triclosan—CBR1—Metabolism of lipids and lipoproteins—FADS1—obesity	0.00367	0.00512	CbGpPWpGaD
Triclosan—Econazole—CYP2E1—obesity	0.00356	0.0732	CrCbGaD
Triclosan—CBR1—Metabolism—INSIG2—obesity	0.00356	0.00497	CbGpPWpGaD
Triclosan—CBR1—Metabolism—ETFDH—obesity	0.00356	0.00497	CbGpPWpGaD
Triclosan—CBR1—Metabolism—PPM1L—obesity	0.00356	0.00497	CbGpPWpGaD
Triclosan—CBR1—Metabolism—OTC—obesity	0.00356	0.00497	CbGpPWpGaD
Triclosan—CBR1—Metabolism of lipids and lipoproteins—SREBF2—obesity	0.00344	0.00479	CbGpPWpGaD
Triclosan—CBR1—Metabolism of lipids and lipoproteins—LPA—obesity	0.00332	0.00463	CbGpPWpGaD
Triclosan—CBR1—Metabolism—INPP5E—obesity	0.00326	0.00454	CbGpPWpGaD
Triclosan—CBR1—Metabolism—UQCRC2—obesity	0.00326	0.00454	CbGpPWpGaD
Triclosan—CBR1—Metabolism—GPT—obesity	0.00326	0.00454	CbGpPWpGaD
Triclosan—CBR1—Metabolism of lipids and lipoproteins—LPIN1—obesity	0.00325	0.00453	CbGpPWpGaD
Triclosan—CBR1—Metabolism of lipids and lipoproteins—APOA5—obesity	0.00318	0.00444	CbGpPWpGaD
Triclosan—CBR1—Metabolism of lipids and lipoproteins—CLOCK—obesity	0.00304	0.00423	CbGpPWpGaD
Triclosan—CBR1—Metabolism—ME1—obesity	0.00303	0.00422	CbGpPWpGaD
Triclosan—CBR1—Metabolism—ALDH6A1—obesity	0.00303	0.00422	CbGpPWpGaD
Triclosan—CBR1—Metabolism—SUCLG2—obesity	0.00303	0.00422	CbGpPWpGaD
Triclosan—CBR1—Metabolism of lipids and lipoproteins—SULT2A1—obesity	0.00296	0.00413	CbGpPWpGaD
Triclosan—CBR1—Metabolism—UCP1—obesity	0.00285	0.00397	CbGpPWpGaD
Triclosan—CBR1—Metabolism—PNPLA3—obesity	0.00285	0.00397	CbGpPWpGaD
Triclosan—CBR1—Metabolism—COX7C—obesity	0.00285	0.00397	CbGpPWpGaD
Triclosan—CBR1—Metabolism of lipids and lipoproteins—CPT1A—obesity	0.00271	0.00377	CbGpPWpGaD
Triclosan—CBR1—Metabolism—CS—obesity	0.0027	0.00376	CbGpPWpGaD
Triclosan—CBR1—Metabolism—DGAT2—obesity	0.0027	0.00376	CbGpPWpGaD
Triclosan—CBR1—Metabolism—CPS1—obesity	0.0027	0.00376	CbGpPWpGaD
Triclosan—CBR1—Metabolism—SUCLA2—obesity	0.0027	0.00376	CbGpPWpGaD
Triclosan—Miconazole—CYP19A1—obesity	0.00269	0.0553	CrCbGaD
Triclosan—CBR1—Metabolism of lipids and lipoproteins—LIPC—obesity	0.00264	0.00368	CbGpPWpGaD
Triclosan—CBR1—Metabolism of lipids and lipoproteins—APOC3—obesity	0.00262	0.00366	CbGpPWpGaD
Triclosan—CBR1—Metabolism—LIPE—obesity	0.00257	0.00359	CbGpPWpGaD
Triclosan—CBR1—Metabolism—MUT—obesity	0.00257	0.00359	CbGpPWpGaD
Triclosan—CBR1—Metabolism of lipids and lipoproteins—CETP—obesity	0.00254	0.00355	CbGpPWpGaD
Triclosan—CBR1—Metabolism of lipids and lipoproteins—SDC1—obesity	0.00251	0.00351	CbGpPWpGaD
Triclosan—CBR1—Metabolism of lipids and lipoproteins—AKR1C3—obesity	0.00247	0.00345	CbGpPWpGaD
Triclosan—CBR1—Metabolism—CYB5A—obesity	0.00247	0.00344	CbGpPWpGaD
Triclosan—CBR1—Metabolism—DGAT1—obesity	0.00247	0.00344	CbGpPWpGaD
Triclosan—CBR1—Metabolism of lipids and lipoproteins—SCARB1—obesity	0.00244	0.0034	CbGpPWpGaD
Triclosan—CBR1—Metabolism—ACLY—obesity	0.00237	0.00331	CbGpPWpGaD
Triclosan—CBR1—Metabolism of lipids and lipoproteins—SREBF1—obesity	0.00236	0.0033	CbGpPWpGaD
Triclosan—CBR1—Metabolism—ALOX12—obesity	0.00229	0.0032	CbGpPWpGaD
Triclosan—CBR1—Metabolism—ENPP1—obesity	0.00229	0.0032	CbGpPWpGaD
Triclosan—CBR1—Metabolism of lipids and lipoproteins—FASN—obesity	0.00225	0.00314	CbGpPWpGaD
Triclosan—CBR1—Metabolism of lipids and lipoproteins—BCHE—obesity	0.00224	0.00313	CbGpPWpGaD
Triclosan—CBR1—Metabolism—HMGCS1—obesity	0.00222	0.0031	CbGpPWpGaD
Triclosan—CBR1—Metabolism—ACADM—obesity	0.00216	0.00301	CbGpPWpGaD
Triclosan—CBR1—Metabolism—ANGPTL4—obesity	0.00216	0.00301	CbGpPWpGaD
Triclosan—CBR1—Metabolism—PLIN1—obesity	0.00216	0.00301	CbGpPWpGaD
Triclosan—CBR1—Metabolism—SAT1—obesity	0.00216	0.00301	CbGpPWpGaD
Triclosan—CBR1—Metabolism—PNPLA2—obesity	0.00216	0.00301	CbGpPWpGaD
Triclosan—CBR1—Metabolism—PFKFB3—obesity	0.00216	0.00301	CbGpPWpGaD
Triclosan—CBR1—Metabolism—ACACB—obesity	0.0021	0.00293	CbGpPWpGaD
Triclosan—CBR1—Metabolism—CYTB—obesity	0.0021	0.00293	CbGpPWpGaD
Triclosan—CBR1—Metabolism—OXCT1—obesity	0.0021	0.00293	CbGpPWpGaD
Triclosan—CBR1—Metabolism—PNLIP—obesity	0.00204	0.00285	CbGpPWpGaD
Triclosan—CBR1—Metabolism—SRD5A1—obesity	0.00204	0.00285	CbGpPWpGaD
Triclosan—Miconazole—CYP2E1—obesity	0.00201	0.0412	CrCbGaD
Triclosan—CBR1—Metabolism—SDC3—obesity	0.002	0.00278	CbGpPWpGaD
Triclosan—CBR1—Metabolism of lipids and lipoproteins—GGT1—obesity	0.00199	0.00277	CbGpPWpGaD
Triclosan—CBR1—NRF2 pathway—TGFB1—obesity	0.00198	0.00277	CbGpPWpGaD
Triclosan—CBR1—Metabolism of lipids and lipoproteins—NCOA1—obesity	0.00196	0.00273	CbGpPWpGaD
Triclosan—CBR1—Metabolism—HK2—obesity	0.00195	0.00272	CbGpPWpGaD
Triclosan—CBR1—Metabolism—CYP26B1—obesity	0.00195	0.00272	CbGpPWpGaD
Triclosan—CBR1—Metabolism—STS—obesity	0.00195	0.00272	CbGpPWpGaD
Triclosan—CBR1—Metabolism of lipids and lipoproteins—CYP19A1—obesity	0.00193	0.00269	CbGpPWpGaD
Triclosan—CBR1—Metabolism—PPARD—obesity	0.00191	0.00266	CbGpPWpGaD
Triclosan—CBR1—Metabolism—SLC27A1—obesity	0.00187	0.00261	CbGpPWpGaD
Triclosan—CBR1—Metabolism—GLUL—obesity	0.00183	0.00256	CbGpPWpGaD
Triclosan—CBR1—Metabolism—FABP4—obesity	0.00183	0.00256	CbGpPWpGaD
Triclosan—CBR1—Metabolism of lipids and lipoproteins—PPARGC1A—obesity	0.00177	0.00247	CbGpPWpGaD
Triclosan—CBR1—Metabolism—UCP3—obesity	0.00174	0.00242	CbGpPWpGaD
Triclosan—CBR1—Metabolism—UCP2—obesity	0.00174	0.00242	CbGpPWpGaD
Triclosan—CBR1—Metabolism—ECHS1—obesity	0.00174	0.00242	CbGpPWpGaD
Triclosan—CBR1—Metabolism—HSD11B1—obesity	0.00174	0.00242	CbGpPWpGaD
Triclosan—CBR1—Metabolism—ADH1B—obesity	0.00171	0.00239	CbGpPWpGaD
Triclosan—CBR1—Metabolism of lipids and lipoproteins—APOB—obesity	0.00168	0.00235	CbGpPWpGaD
Triclosan—CBR1—Metabolism—PPARGC1B—obesity	0.00168	0.00235	CbGpPWpGaD
Triclosan—CBR1—Metabolism—ACSL1—obesity	0.00168	0.00235	CbGpPWpGaD
Triclosan—CBR1—Metabolism—GPAM—obesity	0.00168	0.00235	CbGpPWpGaD
Triclosan—CBR1—Metabolism—FADS1—obesity	0.00163	0.00228	CbGpPWpGaD
Triclosan—CBR1—Metabolism—PCK1—obesity	0.00163	0.00228	CbGpPWpGaD
Triclosan—CBR1—Metabolism—HADH—obesity	0.00163	0.00228	CbGpPWpGaD
Triclosan—CBR1—Metabolism of lipids and lipoproteins—LPL—obesity	0.00161	0.00224	CbGpPWpGaD
Triclosan—CBR1—Metabolism—ACP5—obesity	0.00159	0.00222	CbGpPWpGaD
Triclosan—CBR1—Metabolism of lipids and lipoproteins—GPX1—obesity	0.00157	0.00219	CbGpPWpGaD
Triclosan—CBR1—Metabolism—G6PD—obesity	0.00155	0.00216	CbGpPWpGaD
Triclosan—CBR1—Metabolism—HK1—obesity	0.00153	0.00213	CbGpPWpGaD
Triclosan—CBR1—Metabolism—SREBF2—obesity	0.00153	0.00213	CbGpPWpGaD
Triclosan—CBR1—Metabolism of lipids and lipoproteins—CD36—obesity	0.00153	0.00213	CbGpPWpGaD
Triclosan—CBR1—Metabolism—LPA—obesity	0.00148	0.00206	CbGpPWpGaD
Triclosan—CBR1—Metabolism—LPIN1—obesity	0.00145	0.00202	CbGpPWpGaD
Triclosan—CBR1—Metabolism of lipids and lipoproteins—PPARA—obesity	0.00142	0.00198	CbGpPWpGaD
Triclosan—CBR1—Metabolism—APOA5—obesity	0.00142	0.00198	CbGpPWpGaD
Triclosan—CBR1—Metabolism of lipids and lipoproteins—AGT—obesity	0.00138	0.00192	CbGpPWpGaD
Triclosan—CBR1—Metabolism—CLOCK—obesity	0.00135	0.00189	CbGpPWpGaD
Triclosan—CBR1—Metabolism—SLC22A1—obesity	0.00135	0.00189	CbGpPWpGaD
Triclosan—CBR1—Metabolism of lipids and lipoproteins—APOE—obesity	0.00135	0.00188	CbGpPWpGaD
Triclosan—CBR1—Metabolism of lipids and lipoproteins—CAV1—obesity	0.00134	0.00186	CbGpPWpGaD
Triclosan—CBR1—Metabolism of lipids and lipoproteins—APOA1—obesity	0.00133	0.00186	CbGpPWpGaD
Triclosan—CBR1—Metabolism—SULT2A1—obesity	0.00132	0.00184	CbGpPWpGaD
Triclosan—CBR1—Metabolism—GLP1R—obesity	0.00132	0.00184	CbGpPWpGaD
Triclosan—CBR1—Metabolism—DPYD—obesity	0.0013	0.00181	CbGpPWpGaD
Triclosan—CBR1—Metabolism—PRKAR2B—obesity	0.00125	0.00174	CbGpPWpGaD
Triclosan—CBR1—Metabolism—DCN—obesity	0.00124	0.00173	CbGpPWpGaD
Triclosan—CBR1—Metabolism of lipids and lipoproteins—PIK3CG—obesity	0.00122	0.0017	CbGpPWpGaD
Triclosan—CBR1—Metabolism—CPT1A—obesity	0.0012	0.00168	CbGpPWpGaD
Triclosan—CBR1—Metabolism—NAMPT—obesity	0.00118	0.00165	CbGpPWpGaD
Triclosan—CBR1—Metabolism of lipids and lipoproteins—PPARG—obesity	0.00117	0.00164	CbGpPWpGaD
Triclosan—CBR1—Metabolism—LIPC—obesity	0.00117	0.00164	CbGpPWpGaD
Triclosan—CBR1—Metabolism—GCK—obesity	0.00117	0.00164	CbGpPWpGaD
Triclosan—CBR1—Metabolism—APOC3—obesity	0.00117	0.00163	CbGpPWpGaD
Triclosan—CBR1—Metabolism of lipids and lipoproteins—POMC—obesity	0.00116	0.00162	CbGpPWpGaD
Triclosan—CBR1—Metabolism—CETP—obesity	0.00113	0.00158	CbGpPWpGaD
Triclosan—CBR1—Metabolism—SDC1—obesity	0.00112	0.00156	CbGpPWpGaD
Triclosan—CBR1—Metabolism—AKR1C3—obesity	0.0011	0.00154	CbGpPWpGaD
Triclosan—CBR1—Metabolism—SCARB1—obesity	0.00108	0.00151	CbGpPWpGaD
Triclosan—CBR1—Metabolism of lipids and lipoproteins—PIK3CD—obesity	0.00107	0.00149	CbGpPWpGaD
Triclosan—CBR1—Metabolism of lipids and lipoproteins—ALB—obesity	0.00106	0.00147	CbGpPWpGaD
Triclosan—CBR1—Metabolism—SREBF1—obesity	0.00105	0.00147	CbGpPWpGaD
Triclosan—CBR1—Metabolism—GOT2—obesity	0.00102	0.00143	CbGpPWpGaD
Triclosan—CBR1—Metabolism of lipids and lipoproteins—PIK3R1—obesity	0.00101	0.00141	CbGpPWpGaD
Triclosan—CBR1—Metabolism—FASN—obesity	0.001	0.0014	CbGpPWpGaD
Triclosan—CBR1—Metabolism—BCHE—obesity	0.000998	0.00139	CbGpPWpGaD
Triclosan—CBR1—Metabolism—CYP2E1—obesity	0.000963	0.00134	CbGpPWpGaD
Triclosan—CBR1—Metabolism—NQO1—obesity	0.000952	0.00133	CbGpPWpGaD
Triclosan—CBR1—Metabolism of lipids and lipoproteins—PIK3CB—obesity	0.000933	0.0013	CbGpPWpGaD
Triclosan—CBR1—Metabolism of lipids and lipoproteins—PTGS2—obesity	0.000924	0.00129	CbGpPWpGaD
Triclosan—CBR1—Metabolism—GCG—obesity	0.000913	0.00127	CbGpPWpGaD
Triclosan—CBR1—Metabolism—SLC2A4—obesity	0.000913	0.00127	CbGpPWpGaD
Triclosan—CBR1—Metabolism—CYCS—obesity	0.000901	0.00126	CbGpPWpGaD
Triclosan—CBR1—Metabolism—GOT1—obesity	0.000884	0.00123	CbGpPWpGaD
Triclosan—CBR1—Metabolism—GGT1—obesity	0.000884	0.00123	CbGpPWpGaD
Triclosan—CBR1—Metabolism—NCOA1—obesity	0.000871	0.00122	CbGpPWpGaD
Triclosan—CBR1—Metabolism—STK11—obesity	0.000858	0.0012	CbGpPWpGaD
Triclosan—CBR1—Metabolism—CYP19A1—obesity	0.000858	0.0012	CbGpPWpGaD
Triclosan—CBR1—Metabolism—COMT—obesity	0.000798	0.00111	CbGpPWpGaD
Triclosan—CBR1—Metabolism—GNB3—obesity	0.000787	0.0011	CbGpPWpGaD
Triclosan—CBR1—Metabolism—PPARGC1A—obesity	0.000787	0.0011	CbGpPWpGaD
Triclosan—CBR1—Metabolism—HMOX1—obesity	0.000783	0.00109	CbGpPWpGaD
Triclosan—CBR1—Metabolism—GNAS—obesity	0.000766	0.00107	CbGpPWpGaD
Triclosan—CBR1—Metabolism—APOB—obesity	0.00075	0.00105	CbGpPWpGaD
Triclosan—CBR1—Metabolism—LPL—obesity	0.000716	0.001	CbGpPWpGaD
Triclosan—CBR1—Metabolism—GPX1—obesity	0.000699	0.000975	CbGpPWpGaD
Triclosan—CBR1—Metabolism—CD36—obesity	0.000681	0.00095	CbGpPWpGaD
Triclosan—CBR1—Metabolism—MTHFR—obesity	0.000645	0.0009	CbGpPWpGaD
Triclosan—CBR1—Metabolism—PPARA—obesity	0.000633	0.000883	CbGpPWpGaD
Triclosan—CBR1—Metabolism—AGT—obesity	0.000613	0.000855	CbGpPWpGaD
Triclosan—CBR1—Metabolism—APOE—obesity	0.000601	0.000838	CbGpPWpGaD
Triclosan—CBR1—Metabolism—CAV1—obesity	0.000595	0.00083	CbGpPWpGaD
Triclosan—CBR1—Metabolism—APOA1—obesity	0.000594	0.000828	CbGpPWpGaD
Triclosan—CBR1—Metabolism of lipids and lipoproteins—PIK3CA—obesity	0.000568	0.000793	CbGpPWpGaD
Triclosan—CBR1—Metabolism—PIK3CG—obesity	0.000542	0.000756	CbGpPWpGaD
Triclosan—CBR1—Metabolism—PPARG—obesity	0.000523	0.00073	CbGpPWpGaD
Triclosan—CBR1—Metabolism—POMC—obesity	0.000516	0.00072	CbGpPWpGaD
Triclosan—CBR1—Metabolism—INS—obesity	0.000513	0.000716	CbGpPWpGaD
Triclosan—CBR1—Metabolism—PIK3CD—obesity	0.000476	0.000665	CbGpPWpGaD
Triclosan—CBR1—Metabolism—ALB—obesity	0.00047	0.000656	CbGpPWpGaD
Triclosan—CBR1—Metabolism—PIK3R1—obesity	0.00045	0.000628	CbGpPWpGaD
Triclosan—CBR1—Metabolism—NOS3—obesity	0.00045	0.000628	CbGpPWpGaD
Triclosan—CBR1—Metabolism—PIK3CB—obesity	0.000415	0.000579	CbGpPWpGaD
Triclosan—CBR1—Metabolism—PTGS2—obesity	0.000411	0.000574	CbGpPWpGaD
Triclosan—CBR1—Metabolism—PIK3CA—obesity	0.000253	0.000353	CbGpPWpGaD
Triclosan—CBR1—Metabolism—AKT1—obesity	0.000207	0.000289	CbGpPWpGaD
