nodes	percent_of_prediction	percent_of_DWPC	metapath
Biotin—CYP1B1—Progesterone—uterine cancer	0.386	0.766	CbGbCtD
Biotin—CYP1B1—Doxorubicin—uterine cancer	0.118	0.234	CbGbCtD
Biotin—MCCC1—artery—uterine cancer	0.0117	0.0431	CbGeAlD
Biotin—MCCC2—renal system—uterine cancer	0.00604	0.0223	CbGeAlD
Biotin—MCCC1—myometrium—uterine cancer	0.00563	0.0208	CbGeAlD
Biotin—HLCS—decidua—uterine cancer	0.00559	0.0207	CbGeAlD
Biotin—PCCA—myometrium—uterine cancer	0.00548	0.0203	CbGeAlD
Biotin—MCCC2—uterus—uterine cancer	0.00538	0.0199	CbGeAlD
Biotin—HLCS—mammalian vulva—uterine cancer	0.00513	0.019	CbGeAlD
Biotin—SLC5A6—myometrium—uterine cancer	0.00506	0.0187	CbGeAlD
Biotin—MCCC2—female reproductive system—uterine cancer	0.00484	0.0179	CbGeAlD
Biotin—ACACA—female reproductive system—uterine cancer	0.00484	0.0179	CbGeAlD
Biotin—PC—myometrium—uterine cancer	0.00477	0.0176	CbGeAlD
Biotin—MCCC2—female gonad—uterine cancer	0.0044	0.0163	CbGeAlD
Biotin—ACACA—female gonad—uterine cancer	0.0044	0.0163	CbGeAlD
Biotin—HLCS—female reproductive system—uterine cancer	0.00439	0.0162	CbGeAlD
Biotin—MCCC1—uterine cervix—uterine cancer	0.00438	0.0162	CbGeAlD
Biotin—ACACB—renal system—uterine cancer	0.00435	0.0161	CbGeAlD
Biotin—PCCA—uterine cervix—uterine cancer	0.00427	0.0158	CbGeAlD
Biotin—MCCC1—decidua—uterine cancer	0.00418	0.0154	CbGeAlD
Biotin—PCCB—myometrium—uterine cancer	0.00413	0.0153	CbGeAlD
Biotin—MCCC1—renal system—uterine cancer	0.0041	0.0152	CbGeAlD
Biotin—PCCA—decidua—uterine cancer	0.00407	0.015	CbGeAlD
Biotin—HLCS—female gonad—uterine cancer	0.004	0.0148	CbGeAlD
Biotin—PCCA—renal system—uterine cancer	0.00399	0.0148	CbGeAlD
Biotin—HLCS—vagina—uterine cancer	0.00397	0.0147	CbGeAlD
Biotin—MCCC1—endometrium—uterine cancer	0.00396	0.0147	CbGeAlD
Biotin—PCCA—endometrium—uterine cancer	0.00386	0.0143	CbGeAlD
Biotin—MCCC1—mammalian vulva—uterine cancer	0.00383	0.0142	CbGeAlD
Biotin—SLC5A6—decidua—uterine cancer	0.00375	0.0139	CbGeAlD
Biotin—PCCA—mammalian vulva—uterine cancer	0.00373	0.0138	CbGeAlD
Biotin—MCCC1—uterus—uterine cancer	0.00365	0.0135	CbGeAlD
Biotin—SLC5A6—endometrium—uterine cancer	0.00356	0.0131	CbGeAlD
Biotin—PCCA—uterus—uterine cancer	0.00356	0.0131	CbGeAlD
Biotin—PC—decidua—uterine cancer	0.00353	0.0131	CbGeAlD
Biotin—ACACB—female reproductive system—uterine cancer	0.00348	0.0129	CbGeAlD
Biotin—PC—renal system—uterine cancer	0.00347	0.0128	CbGeAlD
Biotin—SLC5A6—mammalian vulva—uterine cancer	0.00344	0.0127	CbGeAlD
Biotin—MCCC1—female reproductive system—uterine cancer	0.00328	0.0121	CbGeAlD
Biotin—SLC5A6—uterus—uterine cancer	0.00328	0.0121	CbGeAlD
Biotin—PC—mammalian vulva—uterine cancer	0.00325	0.012	CbGeAlD
Biotin—PCCB—uterine cervix—uterine cancer	0.00321	0.0119	CbGeAlD
Biotin—PCCA—female reproductive system—uterine cancer	0.0032	0.0118	CbGeAlD
Biotin—ACACB—female gonad—uterine cancer	0.00317	0.0117	CbGeAlD
Biotin—PCCB—decidua—uterine cancer	0.00306	0.0113	CbGeAlD
Biotin—PCCB—renal system—uterine cancer	0.00301	0.0111	CbGeAlD
Biotin—MCCC1—female gonad—uterine cancer	0.00299	0.011	CbGeAlD
Biotin—MCCC1—vagina—uterine cancer	0.00297	0.011	CbGeAlD
Biotin—SLC5A6—female reproductive system—uterine cancer	0.00295	0.0109	CbGeAlD
Biotin—PCCA—female gonad—uterine cancer	0.00291	0.0108	CbGeAlD
Biotin—PCCB—endometrium—uterine cancer	0.00291	0.0107	CbGeAlD
Biotin—PCCA—vagina—uterine cancer	0.00289	0.0107	CbGeAlD
Biotin—MCCC2—lymph node—uterine cancer	0.00283	0.0105	CbGeAlD
Biotin—PCCB—mammalian vulva—uterine cancer	0.00281	0.0104	CbGeAlD
Biotin—PC—female reproductive system—uterine cancer	0.00278	0.0103	CbGeAlD
Biotin—SLC5A6—female gonad—uterine cancer	0.00268	0.00991	CbGeAlD
Biotin—PCCB—uterus—uterine cancer	0.00268	0.0099	CbGeAlD
Biotin—SLC5A6—vagina—uterine cancer	0.00267	0.00985	CbGeAlD
Biotin—HLCS—lymph node—uterine cancer	0.00257	0.0095	CbGeAlD
Biotin—PC—female gonad—uterine cancer	0.00253	0.00935	CbGeAlD
Biotin—PC—vagina—uterine cancer	0.00251	0.00929	CbGeAlD
Biotin—PCCB—female reproductive system—uterine cancer	0.00241	0.0089	CbGeAlD
Biotin—PCCB—female gonad—uterine cancer	0.00219	0.0081	CbGeAlD
Biotin—SLC5A6—Podofilox—Etoposide—uterine cancer	0.00218	0.232	CbGdCrCtD
Biotin—PCCB—vagina—uterine cancer	0.00218	0.00805	CbGeAlD
Biotin—PCCB—Podofilox—Etoposide—uterine cancer	0.00215	0.229	CbGdCrCtD
Biotin—ACACB—lymph node—uterine cancer	0.00204	0.00753	CbGeAlD
Biotin—ABL1—myometrium—uterine cancer	0.00198	0.00732	CbGeAlD
Biotin—MCCC1—lymph node—uterine cancer	0.00192	0.0071	CbGeAlD
Biotin—PCCA—lymph node—uterine cancer	0.00187	0.00691	CbGeAlD
Biotin—SLC5A6—lymph node—uterine cancer	0.00172	0.00637	CbGeAlD
Biotin—PC—lymph node—uterine cancer	0.00163	0.00601	CbGeAlD
Biotin—ABL1—uterine cervix—uterine cancer	0.00154	0.00569	CbGeAlD
Biotin—ABL1—smooth muscle tissue—uterine cancer	0.0015	0.00553	CbGeAlD
Biotin—ABL1—decidua—uterine cancer	0.00147	0.00542	CbGeAlD
Biotin—ABL1—renal system—uterine cancer	0.00144	0.00533	CbGeAlD
Biotin—PCCB—lymph node—uterine cancer	0.00141	0.00521	CbGeAlD
Biotin—ABL1—endometrium—uterine cancer	0.00139	0.00515	CbGeAlD
Biotin—ABL1—mammalian vulva—uterine cancer	0.00135	0.00498	CbGeAlD
Biotin—ABL1—uterus—uterine cancer	0.00128	0.00474	CbGeAlD
Biotin—CYP1B1—smooth muscle tissue—uterine cancer	0.00127	0.00469	CbGeAlD
Biotin—CYP1B1—decidua—uterine cancer	0.00124	0.00459	CbGeAlD
Biotin—CYP1B1—renal system—uterine cancer	0.00122	0.00451	CbGeAlD
Biotin—ABL1—female reproductive system—uterine cancer	0.00115	0.00427	CbGeAlD
Biotin—CYP1B1—uterus—uterine cancer	0.00109	0.00402	CbGeAlD
Biotin—ABL1—female gonad—uterine cancer	0.00105	0.00388	CbGeAlD
Biotin—ABL1—vagina—uterine cancer	0.00104	0.00386	CbGeAlD
Biotin—CYP1B1—female reproductive system—uterine cancer	0.000977	0.00361	CbGeAlD
Biotin—CYP1B1—female gonad—uterine cancer	0.000889	0.00329	CbGeAlD
Biotin—ABL1—Doxorubicin—Epirubicin—uterine cancer	0.000875	0.0932	CbGdCrCtD
Biotin—ABL1—Daunorubicin—Epirubicin—uterine cancer	0.000875	0.0932	CbGdCrCtD
Biotin—ABL1—Idarubicin—Epirubicin—uterine cancer	0.000875	0.0932	CbGdCrCtD
Biotin—ABL1—Idarubicin—Doxorubicin—uterine cancer	0.00081	0.0863	CbGdCrCtD
Biotin—ABL1—Daunorubicin—Doxorubicin—uterine cancer	0.00081	0.0863	CbGdCrCtD
Biotin—ABL1—Epirubicin—Doxorubicin—uterine cancer	0.00081	0.0863	CbGdCrCtD
Biotin—ABL1—lymph node—uterine cancer	0.000675	0.0025	CbGeAlD
Biotin—CYP1B1—lymph node—uterine cancer	0.000572	0.00211	CbGeAlD
Biotin—ABL1—Hemostasis—IRF1—uterine cancer	0.000142	0.000655	CbGpPWpGaD
Biotin—ABL1—DNA Damage Response (only ATM dependent)—NRAS—uterine cancer	0.000142	0.000654	CbGpPWpGaD
Biotin—ACACB—Disease—CDKN2B—uterine cancer	0.00014	0.000647	CbGpPWpGaD
Biotin—HLCS—Disease—EP300—uterine cancer	0.00014	0.000644	CbGpPWpGaD
Biotin—PC—Disease—FGFR2—uterine cancer	0.000138	0.000638	CbGpPWpGaD
Biotin—ABL1—EGF/EGFR Signaling Pathway—ERBB2—uterine cancer	0.000136	0.000626	CbGpPWpGaD
Biotin—MCCC1—Disease—CDKN1B—uterine cancer	0.000135	0.000624	CbGpPWpGaD
Biotin—MCCC2—Disease—CDKN1B—uterine cancer	0.000135	0.000624	CbGpPWpGaD
Biotin—ABL1—Regulation of Telomerase—AKT1—uterine cancer	0.000133	0.000616	CbGpPWpGaD
Biotin—PC—Disease—MTHFR—uterine cancer	0.000133	0.000614	CbGpPWpGaD
Biotin—ACACB—Metabolism—STK11—uterine cancer	0.000131	0.000605	CbGpPWpGaD
Biotin—ACACB—Metabolism—CYP19A1—uterine cancer	0.000131	0.000605	CbGpPWpGaD
Biotin—HLCS—Disease—NRAS—uterine cancer	0.000131	0.000603	CbGpPWpGaD
Biotin—PCCA—Disease—ERBB2—uterine cancer	0.00013	0.000601	CbGpPWpGaD
Biotin—ABL1—Retinoblastoma (RB) in Cancer—TP53—uterine cancer	0.00013	0.000599	CbGpPWpGaD
Biotin—ACACB—Disease—SMAD3—uterine cancer	0.000128	0.000591	CbGpPWpGaD
Biotin—ABL1—Innate Immune System—IRF1—uterine cancer	0.000128	0.00059	CbGpPWpGaD
Biotin—MCCC2—Disease—CTNNB1—uterine cancer	0.000128	0.00059	CbGpPWpGaD
Biotin—MCCC1—Disease—CTNNB1—uterine cancer	0.000128	0.00059	CbGpPWpGaD
Biotin—ABL1—PDGFR-beta signaling pathway—NRAS—uterine cancer	0.000127	0.000586	CbGpPWpGaD
Biotin—ABL1—Factors involved in megakaryocyte development and platelet production—EP300—uterine cancer	0.000127	0.000585	CbGpPWpGaD
Biotin—PCCB—Metabolism—MTHFR—uterine cancer	0.000127	0.000584	CbGpPWpGaD
Biotin—ABL1—Integrated Breast Cancer Pathway—CTNNB1—uterine cancer	0.000125	0.000579	CbGpPWpGaD
Biotin—MCCC1—Disease—PTEN—uterine cancer	0.000125	0.000575	CbGpPWpGaD
Biotin—MCCC2—Disease—PTEN—uterine cancer	0.000125	0.000575	CbGpPWpGaD
Biotin—CYP1B1—Metabolism—NDUFB11—uterine cancer	0.000124	0.000573	CbGpPWpGaD
