nodes	percent_of_prediction	percent_of_DWPC	metapath
Biotin—CYP1B1—Metabolism—SRD5A2—uterine cancer	0.000124	0.000573	CbGpPWpGaD
Biotin—ACACB—Metabolism of lipids and lipoproteins—PTEN—uterine cancer	0.000123	0.000568	CbGpPWpGaD
Biotin—HLCS—Metabolism—PTEN—uterine cancer	0.000123	0.000566	CbGpPWpGaD
Biotin—ABL1—Integrated Breast Cancer Pathway—PTEN—uterine cancer	0.000122	0.000564	CbGpPWpGaD
Biotin—ACACB—Disease—FGFR2—uterine cancer	0.000122	0.000564	CbGpPWpGaD
Biotin—ABL1—DNA Damage Response (only ATM dependent)—KRAS—uterine cancer	0.000122	0.000563	CbGpPWpGaD
Biotin—SLC5A6—Metabolism—MTHFR—uterine cancer	0.000121	0.000557	CbGpPWpGaD
Biotin—ACACA—Metabolism—MTHFR—uterine cancer	0.000121	0.000557	CbGpPWpGaD
Biotin—CYP1B1—Metabolism of lipids and lipoproteins—CYP11A1—uterine cancer	0.000121	0.000557	CbGpPWpGaD
Biotin—PCCA—Disease—CDKN1B—uterine cancer	0.000121	0.000556	CbGpPWpGaD
Biotin—ABL1—Integrated Pancreatic Cancer Pathway—ERBB2—uterine cancer	0.000119	0.000548	CbGpPWpGaD
Biotin—MCCC1—Disease—EP300—uterine cancer	0.000119	0.000548	CbGpPWpGaD
Biotin—MCCC2—Disease—EP300—uterine cancer	0.000119	0.000548	CbGpPWpGaD
Biotin—ACACB—Disease—MTHFR—uterine cancer	0.000118	0.000543	CbGpPWpGaD
Biotin—ACACB—Metabolism of lipids and lipoproteins—EP300—uterine cancer	0.000117	0.000541	CbGpPWpGaD
Biotin—HLCS—Metabolism—EP300—uterine cancer	0.000117	0.00054	CbGpPWpGaD
Biotin—ABL1—Integrated Breast Cancer Pathway—EP300—uterine cancer	0.000117	0.000538	CbGpPWpGaD
Biotin—ABL1—EGF/EGFR Signaling Pathway—PTEN—uterine cancer	0.000116	0.000534	CbGpPWpGaD
Biotin—ABL1—Cell Cycle—TP53—uterine cancer	0.000114	0.000527	CbGpPWpGaD
Biotin—CYP1B1—Metabolism of lipids and lipoproteins—AKR1C3—uterine cancer	0.000114	0.000526	CbGpPWpGaD
Biotin—PCCA—Disease—CTNNB1—uterine cancer	0.000114	0.000525	CbGpPWpGaD
Biotin—HLCS—Disease—KRAS—uterine cancer	0.000112	0.000519	CbGpPWpGaD
Biotin—ABL1—DNA Damage Response (only ATM dependent)—PIK3CA—uterine cancer	0.000112	0.000517	CbGpPWpGaD
Biotin—PCCB—Metabolism of lipids and lipoproteins—PIK3CA—uterine cancer	0.000112	0.000515	CbGpPWpGaD
Biotin—PC—Metabolism—MTHFR—uterine cancer	0.000111	0.000514	CbGpPWpGaD
Biotin—MCCC2—Disease—NRAS—uterine cancer	0.000111	0.000513	CbGpPWpGaD
Biotin—MCCC1—Disease—NRAS—uterine cancer	0.000111	0.000513	CbGpPWpGaD
Biotin—PCCA—Disease—PTEN—uterine cancer	0.000111	0.000512	CbGpPWpGaD
Biotin—ABL1—Integrated Breast Cancer Pathway—VEGFA—uterine cancer	0.00011	0.00051	CbGpPWpGaD
Biotin—ABL1—Integrated Pancreatic Cancer Pathway—CDKN1B—uterine cancer	0.00011	0.000508	CbGpPWpGaD
Biotin—ABL1—PDGFR-beta signaling pathway—KRAS—uterine cancer	0.000109	0.000504	CbGpPWpGaD
Biotin—ABL1—DNA Damage Response (only ATM dependent)—TP53—uterine cancer	0.000108	0.0005	CbGpPWpGaD
Biotin—ABL1—Axon guidance—MET—uterine cancer	0.000107	0.000492	CbGpPWpGaD
Biotin—ACACA—Metabolism of lipids and lipoproteins—PIK3CA—uterine cancer	0.000106	0.000491	CbGpPWpGaD
Biotin—PCCA—Disease—EP300—uterine cancer	0.000106	0.000488	CbGpPWpGaD
Biotin—MCCC2—Metabolism—PTEN—uterine cancer	0.000104	0.000481	CbGpPWpGaD
Biotin—MCCC1—Metabolism—PTEN—uterine cancer	0.000104	0.000481	CbGpPWpGaD
Biotin—ABL1—Integrated Pancreatic Cancer Pathway—CTNNB1—uterine cancer	0.000104	0.00048	CbGpPWpGaD
Biotin—ABL1—DNA Damage Response (only ATM dependent)—HRAS—uterine cancer	0.000104	0.000478	CbGpPWpGaD
Biotin—HLCS—Disease—PIK3CA—uterine cancer	0.000103	0.000477	CbGpPWpGaD
Biotin—ABL1—Integrated Pancreatic Cancer Pathway—PTEN—uterine cancer	0.000101	0.000468	CbGpPWpGaD
Biotin—ABL1—PDGFR-beta signaling pathway—PIK3CA—uterine cancer	0.0001	0.000463	CbGpPWpGaD
Biotin—MCCC2—Metabolism—EP300—uterine cancer	9.94e-05	0.000459	CbGpPWpGaD
Biotin—MCCC1—Metabolism—EP300—uterine cancer	9.94e-05	0.000459	CbGpPWpGaD
Biotin—PCCA—Disease—NRAS—uterine cancer	9.9e-05	0.000457	CbGpPWpGaD
Biotin—PCCB—Disease—ERBB2—uterine cancer	9.86e-05	0.000455	CbGpPWpGaD
Biotin—ACACB—Metabolism—MTHFR—uterine cancer	9.85e-05	0.000454	CbGpPWpGaD
Biotin—ABL1—Integrated Pancreatic Cancer Pathway—EP300—uterine cancer	9.66e-05	0.000446	CbGpPWpGaD
Biotin—MCCC2—Disease—KRAS—uterine cancer	9.56e-05	0.000441	CbGpPWpGaD
Biotin—MCCC1—Disease—KRAS—uterine cancer	9.56e-05	0.000441	CbGpPWpGaD
Biotin—HLCS—Disease—HRAS—uterine cancer	9.56e-05	0.000441	CbGpPWpGaD
Biotin—SLC5A6—Disease—ERBB2—uterine cancer	9.41e-05	0.000434	CbGpPWpGaD
Biotin—ACACA—Disease—ERBB2—uterine cancer	9.41e-05	0.000434	CbGpPWpGaD
Biotin—ABL1—Integrated Breast Cancer Pathway—KRAS—uterine cancer	9.39e-05	0.000433	CbGpPWpGaD
Biotin—PCCA—Metabolism—PTEN—uterine cancer	9.29e-05	0.000429	CbGpPWpGaD
Biotin—ABL1—PDGFR-beta signaling pathway—HRAS—uterine cancer	9.29e-05	0.000429	CbGpPWpGaD
Biotin—ABL1—Developmental Biology—SMAD3—uterine cancer	9.28e-05	0.000428	CbGpPWpGaD
Biotin—ABL1—Integrated Pancreatic Cancer Pathway—VEGFA—uterine cancer	9.15e-05	0.000422	CbGpPWpGaD
Biotin—ABL1—DNA Damage Response (only ATM dependent)—AKT1—uterine cancer	9.15e-05	0.000422	CbGpPWpGaD
Biotin—PCCB—Disease—CDKN1B—uterine cancer	9.13e-05	0.000422	CbGpPWpGaD
Biotin—ABL1—Factors involved in megakaryocyte development and platelet production—TP53—uterine cancer	9.08e-05	0.000419	CbGpPWpGaD
Biotin—CYP1B1—Metabolism—STAR—uterine cancer	8.98e-05	0.000414	CbGpPWpGaD
Biotin—CYP1B1—Metabolism—AKR1B1—uterine cancer	8.98e-05	0.000414	CbGpPWpGaD
Biotin—ABL1—EGF/EGFR Signaling Pathway—KRAS—uterine cancer	8.88e-05	0.00041	CbGpPWpGaD
Biotin—CYP1B1—Metabolism of lipids and lipoproteins—CYP19A1—uterine cancer	8.88e-05	0.00041	CbGpPWpGaD
Biotin—PCCA—Metabolism—EP300—uterine cancer	8.86e-05	0.000409	CbGpPWpGaD
Biotin—MCCC2—Disease—PIK3CA—uterine cancer	8.78e-05	0.000405	CbGpPWpGaD
Biotin—MCCC1—Disease—PIK3CA—uterine cancer	8.78e-05	0.000405	CbGpPWpGaD
Biotin—ACACA—Disease—CDKN1B—uterine cancer	8.71e-05	0.000402	CbGpPWpGaD
Biotin—SLC5A6—Disease—CDKN1B—uterine cancer	8.71e-05	0.000402	CbGpPWpGaD
Biotin—PC—Disease—ERBB2—uterine cancer	8.68e-05	0.000401	CbGpPWpGaD
Biotin—ACACB—Metabolism of lipids and lipoproteins—PIK3CA—uterine cancer	8.68e-05	0.0004	CbGpPWpGaD
Biotin—HLCS—Metabolism—PIK3CA—uterine cancer	8.65e-05	0.000399	CbGpPWpGaD
Biotin—PCCB—Disease—CTNNB1—uterine cancer	8.63e-05	0.000398	CbGpPWpGaD
Biotin—PCCA—Disease—KRAS—uterine cancer	8.52e-05	0.000393	CbGpPWpGaD
Biotin—HLCS—Disease—AKT1—uterine cancer	8.44e-05	0.000389	CbGpPWpGaD
Biotin—PCCB—Disease—PTEN—uterine cancer	8.41e-05	0.000388	CbGpPWpGaD
Biotin—ABL1—Integrated Breast Cancer Pathway—TP53—uterine cancer	8.35e-05	0.000385	CbGpPWpGaD
Biotin—SLC5A6—Disease—CTNNB1—uterine cancer	8.23e-05	0.00038	CbGpPWpGaD
Biotin—ACACA—Disease—CTNNB1—uterine cancer	8.23e-05	0.00038	CbGpPWpGaD
Biotin—MCCC1—Disease—HRAS—uterine cancer	8.13e-05	0.000375	CbGpPWpGaD
Biotin—MCCC2—Disease—HRAS—uterine cancer	8.13e-05	0.000375	CbGpPWpGaD
Biotin—PC—Disease—CDKN1B—uterine cancer	8.04e-05	0.000371	CbGpPWpGaD
Biotin—SLC5A6—Disease—PTEN—uterine cancer	8.02e-05	0.00037	CbGpPWpGaD
Biotin—ACACA—Disease—PTEN—uterine cancer	8.02e-05	0.00037	CbGpPWpGaD
Biotin—PCCB—Disease—EP300—uterine cancer	8.02e-05	0.00037	CbGpPWpGaD
Biotin—PCCA—Disease—PIK3CA—uterine cancer	7.83e-05	0.000361	CbGpPWpGaD
Biotin—ABL1—Innate Immune System—FGFR2—uterine cancer	7.81e-05	0.000361	CbGpPWpGaD
Biotin—ABL1—Axon guidance—ERBB2—uterine cancer	7.79e-05	0.000359	CbGpPWpGaD
Biotin—ABL1—Integrated Pancreatic Cancer Pathway—KRAS—uterine cancer	7.78e-05	0.000359	CbGpPWpGaD
Biotin—ACACB—Disease—ERBB2—uterine cancer	7.67e-05	0.000354	CbGpPWpGaD
Biotin—ACACA—Disease—EP300—uterine cancer	7.65e-05	0.000353	CbGpPWpGaD
Biotin—SLC5A6—Disease—EP300—uterine cancer	7.65e-05	0.000353	CbGpPWpGaD
Biotin—ABL1—Developmental Biology—MET—uterine cancer	7.6e-05	0.000351	CbGpPWpGaD
Biotin—PC—Disease—CTNNB1—uterine cancer	7.6e-05	0.000351	CbGpPWpGaD
Biotin—ABL1—EGF/EGFR Signaling Pathway—HRAS—uterine cancer	7.55e-05	0.000348	CbGpPWpGaD
Biotin—PCCB—Disease—NRAS—uterine cancer	7.5e-05	0.000346	CbGpPWpGaD
Biotin—ABL1—Immune System—IRF1—uterine cancer	7.44e-05	0.000344	CbGpPWpGaD
Biotin—PC—Disease—PTEN—uterine cancer	7.4e-05	0.000342	CbGpPWpGaD
Biotin—MCCC1—Metabolism—PIK3CA—uterine cancer	7.36e-05	0.000339	CbGpPWpGaD
Biotin—MCCC2—Metabolism—PIK3CA—uterine cancer	7.36e-05	0.000339	CbGpPWpGaD
Biotin—PCCA—Disease—HRAS—uterine cancer	7.24e-05	0.000334	CbGpPWpGaD
Biotin—MCCC2—Disease—AKT1—uterine cancer	7.18e-05	0.000331	CbGpPWpGaD
Biotin—MCCC1—Disease—AKT1—uterine cancer	7.18e-05	0.000331	CbGpPWpGaD
Biotin—SLC5A6—Disease—NRAS—uterine cancer	7.16e-05	0.00033	CbGpPWpGaD
Biotin—ACACA—Disease—NRAS—uterine cancer	7.16e-05	0.00033	CbGpPWpGaD
Biotin—ABL1—Integrated Pancreatic Cancer Pathway—PIK3CA—uterine cancer	7.15e-05	0.00033	CbGpPWpGaD
Biotin—ACACB—Disease—CDKN1B—uterine cancer	7.1e-05	0.000328	CbGpPWpGaD
Biotin—HLCS—Metabolism—AKT1—uterine cancer	7.07e-05	0.000326	CbGpPWpGaD
Biotin—PC—Disease—EP300—uterine cancer	7.06e-05	0.000326	CbGpPWpGaD
Biotin—ABL1—Integrated Breast Cancer Pathway—AKT1—uterine cancer	7.05e-05	0.000325	CbGpPWpGaD
Biotin—CYP1B1—Metabolism—POLD1—uterine cancer	7.05e-05	0.000325	CbGpPWpGaD
Biotin—PCCB—Metabolism—PTEN—uterine cancer	7.04e-05	0.000325	CbGpPWpGaD
Biotin—ABL1—Integrated Pancreatic Cancer Pathway—TP53—uterine cancer	6.92e-05	0.000319	CbGpPWpGaD
Biotin—SLC5A6—Metabolism—PTEN—uterine cancer	6.72e-05	0.00031	CbGpPWpGaD
Biotin—ACACA—Metabolism—PTEN—uterine cancer	6.72e-05	0.00031	CbGpPWpGaD
Biotin—PCCB—Metabolism—EP300—uterine cancer	6.72e-05	0.00031	CbGpPWpGaD
Biotin—ACACB—Disease—CTNNB1—uterine cancer	6.71e-05	0.00031	CbGpPWpGaD
Biotin—ABL1—Immune System—FBXW7—uterine cancer	6.67e-05	0.000308	CbGpPWpGaD
Biotin—ABL1—EGF/EGFR Signaling Pathway—AKT1—uterine cancer	6.66e-05	0.000308	CbGpPWpGaD
Biotin—PC—Disease—NRAS—uterine cancer	6.61e-05	0.000305	CbGpPWpGaD
Biotin—CYP1B1—Metabolism—AKR1C1—uterine cancer	6.59e-05	0.000304	CbGpPWpGaD
Biotin—PCCA—Metabolism—PIK3CA—uterine cancer	6.56e-05	0.000303	CbGpPWpGaD
Biotin—ACACB—Disease—PTEN—uterine cancer	6.54e-05	0.000302	CbGpPWpGaD
Biotin—PCCB—Disease—KRAS—uterine cancer	6.46e-05	0.000298	CbGpPWpGaD
Biotin—SLC5A6—Metabolism—EP300—uterine cancer	6.41e-05	0.000296	CbGpPWpGaD
Biotin—ACACA—Metabolism—EP300—uterine cancer	6.41e-05	0.000296	CbGpPWpGaD
Biotin—PCCA—Disease—AKT1—uterine cancer	6.4e-05	0.000295	CbGpPWpGaD
Biotin—ACACB—Disease—EP300—uterine cancer	6.24e-05	0.000288	CbGpPWpGaD
Biotin—PC—Metabolism—PTEN—uterine cancer	6.2e-05	0.000286	CbGpPWpGaD
Biotin—SLC5A6—Disease—KRAS—uterine cancer	6.16e-05	0.000284	CbGpPWpGaD
Biotin—ACACA—Disease—KRAS—uterine cancer	6.16e-05	0.000284	CbGpPWpGaD
Biotin—MCCC1—Metabolism—AKT1—uterine cancer	6.01e-05	0.000277	CbGpPWpGaD
Biotin—MCCC2—Metabolism—AKT1—uterine cancer	6.01e-05	0.000277	CbGpPWpGaD
Biotin—ABL1—Axon guidance—VEGFA—uterine cancer	6e-05	0.000277	CbGpPWpGaD
Biotin—PCCB—Disease—PIK3CA—uterine cancer	5.93e-05	0.000274	CbGpPWpGaD
Biotin—ABL1—Axon guidance—NRAS—uterine cancer	5.92e-05	0.000273	CbGpPWpGaD
Biotin—PC—Metabolism—EP300—uterine cancer	5.91e-05	0.000273	CbGpPWpGaD
Biotin—CYP1B1—Metabolism—RRM2—uterine cancer	5.87e-05	0.000271	CbGpPWpGaD
Biotin—ABL1—Integrated Pancreatic Cancer Pathway—AKT1—uterine cancer	5.84e-05	0.00027	CbGpPWpGaD
Biotin—ACACB—Disease—NRAS—uterine cancer	5.84e-05	0.000269	CbGpPWpGaD
Biotin—CYP1B1—Metabolism—DCN—uterine cancer	5.7e-05	0.000263	CbGpPWpGaD
Biotin—PC—Disease—KRAS—uterine cancer	5.69e-05	0.000262	CbGpPWpGaD
Biotin—SLC5A6—Disease—PIK3CA—uterine cancer	5.66e-05	0.000261	CbGpPWpGaD
Biotin—ACACA—Disease—PIK3CA—uterine cancer	5.66e-05	0.000261	CbGpPWpGaD
Biotin—ABL1—Developmental Biology—ERBB2—uterine cancer	5.56e-05	0.000256	CbGpPWpGaD
Biotin—PCCB—Disease—HRAS—uterine cancer	5.49e-05	0.000253	CbGpPWpGaD
Biotin—ACACB—Metabolism—PTEN—uterine cancer	5.48e-05	0.000253	CbGpPWpGaD
Biotin—ABL1—Immune System—SOCS3—uterine cancer	5.46e-05	0.000252	CbGpPWpGaD
Biotin—CYP1B1—Metabolism—CYP11A1—uterine cancer	5.37e-05	0.000248	CbGpPWpGaD
Biotin—PCCA—Metabolism—AKT1—uterine cancer	5.36e-05	0.000247	CbGpPWpGaD
Biotin—SLC5A6—Disease—HRAS—uterine cancer	5.24e-05	0.000242	CbGpPWpGaD
Biotin—ACACA—Disease—HRAS—uterine cancer	5.24e-05	0.000242	CbGpPWpGaD
Biotin—ACACB—Metabolism—EP300—uterine cancer	5.22e-05	0.000241	CbGpPWpGaD
Biotin—PC—Disease—PIK3CA—uterine cancer	5.22e-05	0.000241	CbGpPWpGaD
Biotin—ABL1—Axon guidance—KRAS—uterine cancer	5.1e-05	0.000235	CbGpPWpGaD
Biotin—CYP1B1—Metabolism—AKR1C3—uterine cancer	5.07e-05	0.000234	CbGpPWpGaD
Biotin—ACACB—Disease—KRAS—uterine cancer	5.02e-05	0.000232	CbGpPWpGaD
Biotin—PCCB—Metabolism—PIK3CA—uterine cancer	4.97e-05	0.000229	CbGpPWpGaD
Biotin—ABL1—Innate Immune System—ERBB2—uterine cancer	4.91e-05	0.000226	CbGpPWpGaD
Biotin—ABL1—Developmental Biology—CTNNB1—uterine cancer	4.86e-05	0.000224	CbGpPWpGaD
