nodes	percent_of_prediction	percent_of_DWPC	metapath
L-Ornithine—OAT—Amino acid synthesis and interconversion (transamination)—GOT2—alcohol dependence	0.0339	0.0908	CbGpPWpGaD
L-Ornithine—OAT—Amino acid synthesis and interconversion (transamination)—GOT1—alcohol dependence	0.0293	0.0784	CbGpPWpGaD
L-Ornithine—SLC25A2—gonad—alcohol dependence	0.0152	0.0251	CbGeAlD
L-Ornithine—SLC25A15—endocrine gland—alcohol dependence	0.0141	0.0233	CbGeAlD
L-Ornithine—SLC25A15—liver—alcohol dependence	0.0127	0.021	CbGeAlD
L-Ornithine—SLC25A2—endocrine gland—alcohol dependence	0.0115	0.019	CbGeAlD
L-Ornithine—ARG1—IL4-mediated signaling events—OPRM1—alcohol dependence	0.0114	0.0306	CbGpPWpGaD
L-Ornithine—SLC25A2—testis—alcohol dependence	0.0109	0.0181	CbGeAlD
L-Ornithine—SLC25A2—liver—alcohol dependence	0.0103	0.0171	CbGeAlD
L-Ornithine—OAZ3—gonad—alcohol dependence	0.00909	0.015	CbGeAlD
L-Ornithine—L-Aspartic Acid—GOT2—alcohol dependence	0.00855	0.393	CrCbGaD
L-Ornithine—ARG1—Spinal Cord Injury—PDYN—alcohol dependence	0.00852	0.0228	CbGpPWpGaD
L-Ornithine—OAZ3—digestive system—alcohol dependence	0.00831	0.0138	CbGeAlD
L-Ornithine—ARG1—blood—alcohol dependence	0.0081	0.0134	CbGeAlD
L-Ornithine—OAZ2—forebrain—alcohol dependence	0.00717	0.0119	CbGeAlD
L-Ornithine—SLC7A3—testis—alcohol dependence	0.00705	0.0117	CbGeAlD
L-Ornithine—ARG1—endocrine gland—alcohol dependence	0.00703	0.0116	CbGeAlD
L-Ornithine—OAT—forebrain—alcohol dependence	0.00688	0.0114	CbGeAlD
L-Ornithine—OTC—endocrine gland—alcohol dependence	0.00687	0.0114	CbGeAlD
L-Ornithine—OAZ3—endocrine gland—alcohol dependence	0.00687	0.0114	CbGeAlD
L-Ornithine—OAZ1—forebrain—alcohol dependence	0.0068	0.0113	CbGeAlD
L-Ornithine—L-Cysteine—GOT1—alcohol dependence	0.00671	0.308	CrCbGaD
L-Ornithine—GATM—brainstem—alcohol dependence	0.00669	0.0111	CbGeAlD
L-Ornithine—OAZ2—adrenal cortex—alcohol dependence	0.00665	0.011	CbGeAlD
L-Ornithine—OTC—testis—alcohol dependence	0.00655	0.0108	CbGeAlD
L-Ornithine—SLC7A4—testis—alcohol dependence	0.00655	0.0108	CbGeAlD
L-Ornithine—OAZ3—testis—alcohol dependence	0.00655	0.0108	CbGeAlD
L-Ornithine—L-Aspartic Acid—GOT1—alcohol dependence	0.00648	0.298	CrCbGaD
L-Ornithine—SLC7A2—pancreas—alcohol dependence	0.00647	0.0107	CbGeAlD
L-Ornithine—GATM—forebrain—alcohol dependence	0.00646	0.0107	CbGeAlD
L-Ornithine—SLC7A4—nervous system—alcohol dependence	0.00643	0.0106	CbGeAlD
L-Ornithine—OAZ3—nervous system—alcohol dependence	0.00643	0.0106	CbGeAlD
L-Ornithine—OTC—nervous system—alcohol dependence	0.00643	0.0106	CbGeAlD
L-Ornithine—OAT—adrenal cortex—alcohol dependence	0.00637	0.0105	CbGeAlD
L-Ornithine—ARG1—liver—alcohol dependence	0.00634	0.0105	CbGeAlD
L-Ornithine—OAZ1—adrenal cortex—alcohol dependence	0.0063	0.0104	CbGeAlD
L-Ornithine—OTC—liver—alcohol dependence	0.00619	0.0102	CbGeAlD
L-Ornithine—SLC7A4—central nervous system—alcohol dependence	0.00619	0.0102	CbGeAlD
L-Ornithine—OAZ3—central nervous system—alcohol dependence	0.00619	0.0102	CbGeAlD
L-Ornithine—OTC—central nervous system—alcohol dependence	0.00619	0.0102	CbGeAlD
L-Ornithine—ARG2—brainstem—alcohol dependence	0.00613	0.0101	CbGeAlD
L-Ornithine—OAZ2—cardiovascular system—alcohol dependence	0.00607	0.01	CbGeAlD
L-Ornithine—OAZ3—cerebellum—alcohol dependence	0.00605	0.01	CbGeAlD
L-Ornithine—SLC7A2—gonad—alcohol dependence	0.00604	0.00999	CbGeAlD
L-Ornithine—ARG2—forebrain—alcohol dependence	0.00592	0.00979	CbGeAlD
L-Ornithine—OAZ2—pancreas—alcohol dependence	0.0059	0.00976	CbGeAlD
L-Ornithine—SLC7A1—cardiovascular system—alcohol dependence	0.00585	0.00968	CbGeAlD
L-Ornithine—OAT—cardiovascular system—alcohol dependence	0.00582	0.00962	CbGeAlD
L-Ornithine—OAZ1—cardiovascular system—alcohol dependence	0.00575	0.00952	CbGeAlD
L-Ornithine—OAT—pancreas—alcohol dependence	0.00565	0.00935	CbGeAlD
L-Ornithine—OAZ1—pancreas—alcohol dependence	0.00559	0.00925	CbGeAlD
L-Ornithine—SLC7A2—digestive system—alcohol dependence	0.00552	0.00914	CbGeAlD
L-Ornithine—OAZ2—gonad—alcohol dependence	0.00551	0.00911	CbGeAlD
L-Ornithine—ARG2—adrenal cortex—alcohol dependence	0.00548	0.00907	CbGeAlD
L-Ornithine—SLC7A1—gonad—alcohol dependence	0.00531	0.00878	CbGeAlD
L-Ornithine—GATM—pancreas—alcohol dependence	0.00531	0.00878	CbGeAlD
L-Ornithine—SLC25A2—Amino acid and derivative metabolism—GOT2—alcohol dependence	0.00531	0.0142	CbGpPWpGaD
L-Ornithine—SLC25A15—Amino acid and derivative metabolism—GOT2—alcohol dependence	0.00531	0.0142	CbGpPWpGaD
L-Ornithine—OAZ2—Amino acid and derivative metabolism—GOT2—alcohol dependence	0.00531	0.0142	CbGpPWpGaD
L-Ornithine—OAZ3—Amino acid and derivative metabolism—GOT2—alcohol dependence	0.00531	0.0142	CbGpPWpGaD
L-Ornithine—OAT—gonad—alcohol dependence	0.00528	0.00873	CbGeAlD
L-Ornithine—OAZ1—gonad—alcohol dependence	0.00522	0.00864	CbGeAlD
L-Ornithine—OAZ2—digestive system—alcohol dependence	0.00504	0.00833	CbGeAlD
L-Ornithine—GATM—gonad—alcohol dependence	0.00496	0.0082	CbGeAlD
L-Ornithine—SLC7A4—brain—alcohol dependence	0.00491	0.00813	CbGeAlD
L-Ornithine—OAZ3—brain—alcohol dependence	0.00491	0.00813	CbGeAlD
L-Ornithine—OTC—brain—alcohol dependence	0.00491	0.00813	CbGeAlD
L-Ornithine—SLC7A1—digestive system—alcohol dependence	0.00486	0.00803	CbGeAlD
L-Ornithine—OAT—digestive system—alcohol dependence	0.00483	0.00799	CbGeAlD
L-Ornithine—OAZ2—blood—alcohol dependence	0.0048	0.00794	CbGeAlD
L-Ornithine—OAZ1—digestive system—alcohol dependence	0.00477	0.0079	CbGeAlD
L-Ornithine—OAZ2—midbrain—alcohol dependence	0.00474	0.00784	CbGeAlD
L-Ornithine—OAT—Amino acid and derivative metabolism—GOT2—alcohol dependence	0.00473	0.0127	CbGpPWpGaD
L-Ornithine—OAT—blood—alcohol dependence	0.0046	0.00761	CbGeAlD
L-Ornithine—SLC25A2—Amino acid and derivative metabolism—GOT1—alcohol dependence	0.00458	0.0123	CbGpPWpGaD
L-Ornithine—OAZ3—Amino acid and derivative metabolism—GOT1—alcohol dependence	0.00458	0.0123	CbGpPWpGaD
L-Ornithine—OAZ2—Amino acid and derivative metabolism—GOT1—alcohol dependence	0.00458	0.0123	CbGpPWpGaD
L-Ornithine—SLC25A15—Amino acid and derivative metabolism—GOT1—alcohol dependence	0.00458	0.0123	CbGpPWpGaD
L-Ornithine—SLC7A2—endocrine gland—alcohol dependence	0.00456	0.00755	CbGeAlD
L-Ornithine—OAZ1—blood—alcohol dependence	0.00455	0.00753	CbGeAlD
L-Ornithine—OAT—midbrain—alcohol dependence	0.00454	0.00752	CbGeAlD
L-Ornithine—ARG2—gonad—alcohol dependence	0.00454	0.00751	CbGeAlD
L-Ornithine—GATM—digestive system—alcohol dependence	0.00453	0.0075	CbGeAlD
L-Ornithine—OAZ1—midbrain—alcohol dependence	0.00449	0.00743	CbGeAlD
L-Ornithine—SLC7A2—testis—alcohol dependence	0.00435	0.0072	CbGeAlD
L-Ornithine—OAZ1—Amino acid and derivative metabolism—GOT2—alcohol dependence	0.00433	0.0116	CbGpPWpGaD
L-Ornithine—GATM—midbrain—alcohol dependence	0.00426	0.00705	CbGeAlD
L-Ornithine—OAZ2—endocrine gland—alcohol dependence	0.00416	0.00689	CbGeAlD
L-Ornithine—SLC7A2—liver—alcohol dependence	0.00412	0.00681	CbGeAlD
L-Ornithine—OAT—Amino acid and derivative metabolism—GOT1—alcohol dependence	0.00408	0.0109	CbGpPWpGaD
