nodes	percent_of_prediction	percent_of_DWPC	metapath
L-Ornithine—SLC7A1—endocrine gland—alcohol dependence	0.00401	0.00664	CbGeAlD
L-Ornithine—OAT—endocrine gland—alcohol dependence	0.00399	0.0066	CbGeAlD
L-Ornithine—OAZ2—testis—alcohol dependence	0.00397	0.00657	CbGeAlD
L-Ornithine—ARG2—blood—alcohol dependence	0.00396	0.00655	CbGeAlD
L-Ornithine—OAZ1—endocrine gland—alcohol dependence	0.00395	0.00653	CbGeAlD
L-Ornithine—ARG2—midbrain—alcohol dependence	0.00391	0.00646	CbGeAlD
L-Ornithine—OAZ2—nervous system—alcohol dependence	0.0039	0.00644	CbGeAlD
L-Ornithine—SLC7A1—testis—alcohol dependence	0.00383	0.00633	CbGeAlD
L-Ornithine—OAT—testis—alcohol dependence	0.0038	0.0063	CbGeAlD
L-Ornithine—ARG1—Amino acid and derivative metabolism—GOT2—alcohol dependence	0.00378	0.0101	CbGpPWpGaD
L-Ornithine—OAZ1—testis—alcohol dependence	0.00376	0.00622	CbGeAlD
L-Ornithine—SLC7A1—nervous system—alcohol dependence	0.00376	0.00621	CbGeAlD
L-Ornithine—OAZ2—liver—alcohol dependence	0.00375	0.00621	CbGeAlD
L-Ornithine—OAZ2—central nervous system—alcohol dependence	0.00375	0.0062	CbGeAlD
L-Ornithine—GATM—endocrine gland—alcohol dependence	0.00375	0.0062	CbGeAlD
L-Ornithine—OAT—nervous system—alcohol dependence	0.00373	0.00618	CbGeAlD
L-Ornithine—OAZ1—Amino acid and derivative metabolism—GOT1—alcohol dependence	0.00373	0.00999	CbGpPWpGaD
L-Ornithine—OAZ1—nervous system—alcohol dependence	0.00369	0.00611	CbGeAlD
L-Ornithine—OAZ2—cerebellum—alcohol dependence	0.00367	0.00606	CbGeAlD
L-Ornithine—SLC7A1—central nervous system—alcohol dependence	0.00362	0.00598	CbGeAlD
L-Ornithine—OAT—liver—alcohol dependence	0.0036	0.00595	CbGeAlD
L-Ornithine—OAT—central nervous system—alcohol dependence	0.0036	0.00595	CbGeAlD
L-Ornithine—OTC—Amino acid and derivative metabolism—GOT2—alcohol dependence	0.00358	0.00959	CbGpPWpGaD
L-Ornithine—GATM—Amino acid and derivative metabolism—GOT2—alcohol dependence	0.00358	0.00959	CbGpPWpGaD
L-Ornithine—ARG2—Amino acid and derivative metabolism—GOT2—alcohol dependence	0.00358	0.00959	CbGpPWpGaD
L-Ornithine—GATM—testis—alcohol dependence	0.00357	0.00591	CbGeAlD
L-Ornithine—OAZ1—liver—alcohol dependence	0.00356	0.00588	CbGeAlD
L-Ornithine—OAZ1—central nervous system—alcohol dependence	0.00355	0.00588	CbGeAlD
L-Ornithine—SLC7A1—cerebellum—alcohol dependence	0.00353	0.00585	CbGeAlD
L-Ornithine—OAT—cerebellum—alcohol dependence	0.00351	0.00581	CbGeAlD
L-Ornithine—GATM—nervous system—alcohol dependence	0.00351	0.0058	CbGeAlD
L-Ornithine—OAZ1—cerebellum—alcohol dependence	0.00347	0.00575	CbGeAlD
L-Ornithine—ARG2—endocrine gland—alcohol dependence	0.00343	0.00568	CbGeAlD
L-Ornithine—GATM—liver—alcohol dependence	0.00338	0.00559	CbGeAlD
L-Ornithine—GATM—central nervous system—alcohol dependence	0.00337	0.00558	CbGeAlD
L-Ornithine—GATM—cerebellum—alcohol dependence	0.0033	0.00546	CbGeAlD
L-Ornithine—ARG2—testis—alcohol dependence	0.00327	0.00542	CbGeAlD
L-Ornithine—SLC7A2—brain—alcohol dependence	0.00327	0.0054	CbGeAlD
L-Ornithine—ARG1—Amino acid and derivative metabolism—GOT1—alcohol dependence	0.00326	0.00873	CbGpPWpGaD
L-Ornithine—ARG2—nervous system—alcohol dependence	0.00321	0.00531	CbGeAlD
L-Ornithine—ARG1—ATF-2 transcription factor network—EP300—alcohol dependence	0.00319	0.00854	CbGpPWpGaD
L-Ornithine—SLC25A2—Metabolism—ADH6—alcohol dependence	0.0031	0.00828	CbGpPWpGaD
L-Ornithine—OAZ2—Metabolism—ADH6—alcohol dependence	0.0031	0.00828	CbGpPWpGaD
L-Ornithine—OAZ3—Metabolism—ADH6—alcohol dependence	0.0031	0.00828	CbGpPWpGaD
L-Ornithine—SLC25A15—Metabolism—ADH6—alcohol dependence	0.0031	0.00828	CbGpPWpGaD
L-Ornithine—OTC—Amino acid and derivative metabolism—GOT1—alcohol dependence	0.00309	0.00828	CbGpPWpGaD
L-Ornithine—ARG2—Amino acid and derivative metabolism—GOT1—alcohol dependence	0.00309	0.00828	CbGpPWpGaD
L-Ornithine—GATM—Amino acid and derivative metabolism—GOT1—alcohol dependence	0.00309	0.00828	CbGpPWpGaD
L-Ornithine—ARG2—central nervous system—alcohol dependence	0.00309	0.00512	CbGeAlD
L-Ornithine—ARG2—cerebellum—alcohol dependence	0.00302	0.005	CbGeAlD
L-Ornithine—OAZ2—brain—alcohol dependence	0.00298	0.00493	CbGeAlD
L-Ornithine—SLC7A1—brain—alcohol dependence	0.00287	0.00475	CbGeAlD
L-Ornithine—OAT—brain—alcohol dependence	0.00285	0.00472	CbGeAlD
L-Ornithine—OAZ1—brain—alcohol dependence	0.00282	0.00467	CbGeAlD
L-Ornithine—OAT—Metabolism—ADH6—alcohol dependence	0.00276	0.00738	CbGpPWpGaD
L-Ornithine—GATM—brain—alcohol dependence	0.00268	0.00443	CbGeAlD
L-Ornithine—SLC25A2—Metabolism—ADH1A—alcohol dependence	0.00257	0.00686	CbGpPWpGaD
L-Ornithine—SLC25A15—Metabolism—ADH1A—alcohol dependence	0.00257	0.00686	CbGpPWpGaD
L-Ornithine—OAZ2—Metabolism—ADH1A—alcohol dependence	0.00257	0.00686	CbGpPWpGaD
L-Ornithine—OAZ3—Metabolism—ADH1A—alcohol dependence	0.00257	0.00686	CbGpPWpGaD
L-Ornithine—OAZ1—Metabolism—ADH6—alcohol dependence	0.00252	0.00675	CbGpPWpGaD
L-Ornithine—ARG2—brain—alcohol dependence	0.00246	0.00406	CbGeAlD
L-Ornithine—SLC7A2—Transmembrane transport of small molecules—GABRB1—alcohol dependence	0.00245	0.00654	CbGpPWpGaD
L-Ornithine—SLC7A2—SLC-mediated transmembrane transport—SLC6A3—alcohol dependence	0.00232	0.0062	CbGpPWpGaD
L-Ornithine—OAT—Metabolism—ADH1A—alcohol dependence	0.00229	0.00612	CbGpPWpGaD
L-Ornithine—ARG1—Metabolism—ADH6—alcohol dependence	0.00221	0.0059	CbGpPWpGaD
L-Ornithine—SLC25A15—Metabolism—ADH4—alcohol dependence	0.00218	0.00583	CbGpPWpGaD
L-Ornithine—OAZ2—Metabolism—ADH4—alcohol dependence	0.00218	0.00583	CbGpPWpGaD
L-Ornithine—OAZ3—Metabolism—ADH4—alcohol dependence	0.00218	0.00583	CbGpPWpGaD
L-Ornithine—SLC25A2—Metabolism—ADH4—alcohol dependence	0.00218	0.00583	CbGpPWpGaD
L-Ornithine—OAZ1—Metabolism—ADH1A—alcohol dependence	0.00209	0.00559	CbGpPWpGaD
L-Ornithine—OTC—Metabolism—ADH6—alcohol dependence	0.00209	0.00559	CbGpPWpGaD
L-Ornithine—GATM—Metabolism—ADH6—alcohol dependence	0.00209	0.00559	CbGpPWpGaD
L-Ornithine—ARG2—Metabolism—ADH6—alcohol dependence	0.00209	0.00559	CbGpPWpGaD
L-Ornithine—SLC7A2—Transmembrane transport of small molecules—GABRA2—alcohol dependence	0.00208	0.00556	CbGpPWpGaD
L-Ornithine—SLC7A1—Transmembrane transport of small molecules—GABRB1—alcohol dependence	0.00208	0.00556	CbGpPWpGaD
L-Ornithine—SLC7A1—SLC-mediated transmembrane transport—SLC6A3—alcohol dependence	0.00197	0.00527	CbGpPWpGaD
L-Ornithine—OAT—Metabolism—ADH4—alcohol dependence	0.00194	0.0052	CbGpPWpGaD
L-Ornithine—SLC7A3—Transmembrane transport of small molecules—GABRB1—alcohol dependence	0.00193	0.00517	CbGpPWpGaD
L-Ornithine—SLC7A2—SLC-mediated transmembrane transport—AVP—alcohol dependence	0.00192	0.00513	CbGpPWpGaD
L-Ornithine—OAZ3—Metabolism—ADH7—alcohol dependence	0.00185	0.00496	CbGpPWpGaD
L-Ornithine—OAZ2—Metabolism—ADH7—alcohol dependence	0.00185	0.00496	CbGpPWpGaD
L-Ornithine—SLC25A2—Metabolism—ADH7—alcohol dependence	0.00185	0.00496	CbGpPWpGaD
L-Ornithine—SLC25A15—Metabolism—ADH7—alcohol dependence	0.00185	0.00496	CbGpPWpGaD
L-Ornithine—SLC7A3—SLC-mediated transmembrane transport—SLC6A3—alcohol dependence	0.00183	0.0049	CbGpPWpGaD
L-Ornithine—ARG1—Metabolism—ADH1A—alcohol dependence	0.00183	0.00489	CbGpPWpGaD
L-Ornithine—SLC25A15—Metabolism—GGT2—alcohol dependence	0.00178	0.00476	CbGpPWpGaD
L-Ornithine—OAZ2—Metabolism—GGT2—alcohol dependence	0.00178	0.00476	CbGpPWpGaD
L-Ornithine—OAZ3—Metabolism—GGT2—alcohol dependence	0.00178	0.00476	CbGpPWpGaD
L-Ornithine—SLC25A2—Metabolism—GGT2—alcohol dependence	0.00178	0.00476	CbGpPWpGaD
L-Ornithine—OAZ1—Metabolism—ADH4—alcohol dependence	0.00178	0.00476	CbGpPWpGaD
L-Ornithine—SLC7A1—Transmembrane transport of small molecules—GABRA2—alcohol dependence	0.00177	0.00473	CbGpPWpGaD
L-Ornithine—ARG2—Metabolism—ADH1A—alcohol dependence	0.00173	0.00464	CbGpPWpGaD
L-Ornithine—GATM—Metabolism—ADH1A—alcohol dependence	0.00173	0.00464	CbGpPWpGaD
L-Ornithine—OTC—Metabolism—ADH1A—alcohol dependence	0.00173	0.00464	CbGpPWpGaD
L-Ornithine—OAT—Metabolism—ADH7—alcohol dependence	0.00165	0.00442	CbGpPWpGaD
L-Ornithine—SLC7A3—Transmembrane transport of small molecules—GABRA2—alcohol dependence	0.00164	0.0044	CbGpPWpGaD
L-Ornithine—SLC7A1—SLC-mediated transmembrane transport—AVP—alcohol dependence	0.00163	0.00436	CbGpPWpGaD
L-Ornithine—OAZ2—Metabolism—ADH1B—alcohol dependence	0.00163	0.00435	CbGpPWpGaD
L-Ornithine—OAZ3—Metabolism—ADH1B—alcohol dependence	0.00163	0.00435	CbGpPWpGaD
L-Ornithine—SLC25A2—Metabolism—ADH1B—alcohol dependence	0.00163	0.00435	CbGpPWpGaD
L-Ornithine—SLC25A15—Metabolism—ADH1B—alcohol dependence	0.00163	0.00435	CbGpPWpGaD
L-Ornithine—OAT—Metabolism—GGT2—alcohol dependence	0.00158	0.00424	CbGpPWpGaD
L-Ornithine—ARG1—Metabolism—ADH4—alcohol dependence	0.00155	0.00416	CbGpPWpGaD
L-Ornithine—SLC7A3—SLC-mediated transmembrane transport—AVP—alcohol dependence	0.00152	0.00405	CbGpPWpGaD
L-Ornithine—OAZ1—Metabolism—ADH7—alcohol dependence	0.00151	0.00404	CbGpPWpGaD
L-Ornithine—OTC—Metabolism—ADH4—alcohol dependence	0.00147	0.00394	CbGpPWpGaD
L-Ornithine—GATM—Metabolism—ADH4—alcohol dependence	0.00147	0.00394	CbGpPWpGaD
L-Ornithine—ARG2—Metabolism—ADH4—alcohol dependence	0.00147	0.00394	CbGpPWpGaD
L-Ornithine—OAT—Metabolism—ADH1B—alcohol dependence	0.00145	0.00388	CbGpPWpGaD
L-Ornithine—OAZ1—Metabolism—GGT2—alcohol dependence	0.00145	0.00388	CbGpPWpGaD
L-Ornithine—SLC25A2—Metabolism—MAOB—alcohol dependence	0.00135	0.0036	CbGpPWpGaD
L-Ornithine—SLC25A15—Metabolism—MAOB—alcohol dependence	0.00135	0.0036	CbGpPWpGaD
L-Ornithine—OAZ2—Metabolism—MAOB—alcohol dependence	0.00135	0.0036	CbGpPWpGaD
L-Ornithine—OAZ3—Metabolism—MAOB—alcohol dependence	0.00135	0.0036	CbGpPWpGaD
L-Ornithine—OAZ1—Metabolism—ADH1B—alcohol dependence	0.00133	0.00355	CbGpPWpGaD
L-Ornithine—ARG1—Metabolism—ADH7—alcohol dependence	0.00132	0.00354	CbGpPWpGaD
L-Ornithine—ARG1—Metabolism—GGT2—alcohol dependence	0.00127	0.00339	CbGpPWpGaD
L-Ornithine—OTC—Metabolism—ADH7—alcohol dependence	0.00125	0.00335	CbGpPWpGaD
L-Ornithine—GATM—Metabolism—ADH7—alcohol dependence	0.00125	0.00335	CbGpPWpGaD
L-Ornithine—ARG2—Metabolism—ADH7—alcohol dependence	0.00125	0.00335	CbGpPWpGaD
L-Ornithine—GATM—Metabolism—GGT2—alcohol dependence	0.0012	0.00321	CbGpPWpGaD
L-Ornithine—ARG2—Metabolism—GGT2—alcohol dependence	0.0012	0.00321	CbGpPWpGaD
L-Ornithine—OAT—Metabolism—MAOB—alcohol dependence	0.0012	0.00321	CbGpPWpGaD
L-Ornithine—OTC—Metabolism—GGT2—alcohol dependence	0.0012	0.00321	CbGpPWpGaD
L-Ornithine—SLC7A2—Transmembrane transport of small molecules—SLC6A3—alcohol dependence	0.00118	0.00315	CbGpPWpGaD
L-Ornithine—ARG1—Metabolism—ADH1B—alcohol dependence	0.00116	0.0031	CbGpPWpGaD
L-Ornithine—SLC25A2—Metabolism—ALDH2—alcohol dependence	0.00115	0.00307	CbGpPWpGaD
L-Ornithine—OAZ2—Metabolism—ALDH2—alcohol dependence	0.00115	0.00307	CbGpPWpGaD
L-Ornithine—OAZ3—Metabolism—ALDH2—alcohol dependence	0.00115	0.00307	CbGpPWpGaD
L-Ornithine—SLC25A15—Metabolism—ALDH2—alcohol dependence	0.00115	0.00307	CbGpPWpGaD
L-Ornithine—OAZ1—Metabolism—MAOB—alcohol dependence	0.0011	0.00294	CbGpPWpGaD
L-Ornithine—OTC—Metabolism—ADH1B—alcohol dependence	0.0011	0.00294	CbGpPWpGaD
L-Ornithine—GATM—Metabolism—ADH1B—alcohol dependence	0.0011	0.00294	CbGpPWpGaD
L-Ornithine—ARG2—Metabolism—ADH1B—alcohol dependence	0.0011	0.00294	CbGpPWpGaD
L-Ornithine—OAT—Metabolism—ALDH2—alcohol dependence	0.00102	0.00273	CbGpPWpGaD
L-Ornithine—SLC7A1—Transmembrane transport of small molecules—SLC6A3—alcohol dependence	0.001	0.00268	CbGpPWpGaD
L-Ornithine—SLC25A15—Metabolism—GOT2—alcohol dependence	0.000974	0.00261	CbGpPWpGaD
L-Ornithine—OAZ2—Metabolism—GOT2—alcohol dependence	0.000974	0.00261	CbGpPWpGaD
L-Ornithine—OAZ3—Metabolism—GOT2—alcohol dependence	0.000974	0.00261	CbGpPWpGaD
L-Ornithine—SLC25A2—Metabolism—GOT2—alcohol dependence	0.000974	0.00261	CbGpPWpGaD
L-Ornithine—SLC7A2—Transmembrane transport of small molecules—AVP—alcohol dependence	0.000974	0.00261	CbGpPWpGaD
L-Ornithine—ARG1—Metabolism—MAOB—alcohol dependence	0.00096	0.00257	CbGpPWpGaD
L-Ornithine—OAZ1—Metabolism—ALDH2—alcohol dependence	0.000934	0.0025	CbGpPWpGaD
L-Ornithine—SLC7A3—Transmembrane transport of small molecules—SLC6A3—alcohol dependence	0.000931	0.00249	CbGpPWpGaD
L-Ornithine—SLC25A15—Metabolism—CYP2E1—alcohol dependence	0.000916	0.00245	CbGpPWpGaD
L-Ornithine—OAZ2—Metabolism—CYP2E1—alcohol dependence	0.000916	0.00245	CbGpPWpGaD
L-Ornithine—OAZ3—Metabolism—CYP2E1—alcohol dependence	0.000916	0.00245	CbGpPWpGaD
L-Ornithine—SLC25A2—Metabolism—CYP2E1—alcohol dependence	0.000916	0.00245	CbGpPWpGaD
L-Ornithine—ARG2—Metabolism—MAOB—alcohol dependence	0.00091	0.00243	CbGpPWpGaD
L-Ornithine—OTC—Metabolism—MAOB—alcohol dependence	0.00091	0.00243	CbGpPWpGaD
L-Ornithine—GATM—Metabolism—MAOB—alcohol dependence	0.00091	0.00243	CbGpPWpGaD
L-Ornithine—OAT—Metabolism—GOT2—alcohol dependence	0.000868	0.00232	CbGpPWpGaD
L-Ornithine—SLC25A2—Metabolism—GOT1—alcohol dependence	0.000841	0.00225	CbGpPWpGaD
L-Ornithine—SLC25A15—Metabolism—GGT1—alcohol dependence	0.000841	0.00225	CbGpPWpGaD
L-Ornithine—OAZ2—Metabolism—GGT1—alcohol dependence	0.000841	0.00225	CbGpPWpGaD
L-Ornithine—OAZ3—Metabolism—GGT1—alcohol dependence	0.000841	0.00225	CbGpPWpGaD
L-Ornithine—SLC25A15—Metabolism—GOT1—alcohol dependence	0.000841	0.00225	CbGpPWpGaD
L-Ornithine—OAZ2—Metabolism—GOT1—alcohol dependence	0.000841	0.00225	CbGpPWpGaD
L-Ornithine—OAZ3—Metabolism—GOT1—alcohol dependence	0.000841	0.00225	CbGpPWpGaD
L-Ornithine—SLC25A2—Metabolism—GGT1—alcohol dependence	0.000841	0.00225	CbGpPWpGaD
L-Ornithine—SLC7A1—Transmembrane transport of small molecules—AVP—alcohol dependence	0.000828	0.00222	CbGpPWpGaD
L-Ornithine—OAT—Metabolism—CYP2E1—alcohol dependence	0.000816	0.00218	CbGpPWpGaD
L-Ornithine—ARG1—Metabolism—ALDH2—alcohol dependence	0.000816	0.00218	CbGpPWpGaD
L-Ornithine—OAZ1—Metabolism—GOT2—alcohol dependence	0.000794	0.00212	CbGpPWpGaD
L-Ornithine—ARG2—Metabolism—ALDH2—alcohol dependence	0.000774	0.00207	CbGpPWpGaD
L-Ornithine—OTC—Metabolism—ALDH2—alcohol dependence	0.000774	0.00207	CbGpPWpGaD
L-Ornithine—GATM—Metabolism—ALDH2—alcohol dependence	0.000774	0.00207	CbGpPWpGaD
L-Ornithine—SLC7A3—Transmembrane transport of small molecules—AVP—alcohol dependence	0.00077	0.00206	CbGpPWpGaD
L-Ornithine—SLC25A15—Metabolism—MAOA—alcohol dependence	0.000754	0.00202	CbGpPWpGaD
L-Ornithine—OAZ2—Metabolism—MAOA—alcohol dependence	0.000754	0.00202	CbGpPWpGaD
L-Ornithine—OAZ3—Metabolism—MAOA—alcohol dependence	0.000754	0.00202	CbGpPWpGaD
L-Ornithine—SLC25A2—Metabolism—MAOA—alcohol dependence	0.000754	0.00202	CbGpPWpGaD
L-Ornithine—OAT—Metabolism—GOT1—alcohol dependence	0.00075	0.00201	CbGpPWpGaD
L-Ornithine—OAT—Metabolism—GGT1—alcohol dependence	0.00075	0.00201	CbGpPWpGaD
L-Ornithine—OAZ1—Metabolism—CYP2E1—alcohol dependence	0.000747	0.002	CbGpPWpGaD
L-Ornithine—ARG1—Metabolism—GOT2—alcohol dependence	0.000694	0.00186	CbGpPWpGaD
L-Ornithine—OAZ1—Metabolism—GGT1—alcohol dependence	0.000686	0.00183	CbGpPWpGaD
L-Ornithine—OAZ1—Metabolism—GOT1—alcohol dependence	0.000686	0.00183	CbGpPWpGaD
L-Ornithine—OAT—Metabolism—MAOA—alcohol dependence	0.000672	0.0018	CbGpPWpGaD
L-Ornithine—OTC—Metabolism—GOT2—alcohol dependence	0.000658	0.00176	CbGpPWpGaD
L-Ornithine—ARG2—Metabolism—GOT2—alcohol dependence	0.000658	0.00176	CbGpPWpGaD
